N,reps,register_total_ms_avg,register_total_std_ms,register_per_tool_ms_avg,register_per_tool_us_avg,register_per_tool_us_std,register_per_tool_us_ci95,register_throughput_tools_per_sec,lookup_avg_ms,lookup_std_ms,lookup_ci95_ms,lookup_p50_ms,lookup_p95_ms,lookup_p99_ms,userspace_dict_avg_ms,userspace_dict_p95_ms,sysfs_ls_ms_avg,module_coresize,meminfo_free_delta_kb
8,5,0.054658,0.011567,0.006832274,6.8323,1.4459,1.2674,150877.371,0.007101,0.001252,2.5e-05,0.006833,0.008294,0.011625,6e-05,8.4e-05,0.590358,36864,17136
16,5,0.090866,0.003387,0.005679138,5.6791,0.2117,0.1856,176276.86,0.007086,0.001284,2.5e-05,0.006833,0.00875,0.011792,5.8e-05,8.4e-05,0.43965,36864,248
32,5,0.1819,0.013058,0.005684375,5.6844,0.4081,0.3577,176608.552,0.007219,0.002821,5.5e-05,0.006875,0.00825,0.011375,5.8e-05,8.4e-05,0.602892,36864,3780
64,5,0.38355,0.021638,0.005992972,5.993,0.3381,0.2964,167293.356,0.007179,0.001671,3.3e-05,0.006917,0.008041,0.011959,6e-05,8.4e-05,0.555109,36864,5292
128,5,0.786633,0.107229,0.006145572,6.1456,0.8377,0.7343,165025.832,0.007067,0.001491,2.9e-05,0.006875,0.007667,0.010418,7e-05,8.4e-05,0.530525,36864,5796
256,5,1.436275,0.053573,0.005610448,5.6104,0.2093,0.1834,178434.325,0.007048,0.001752,3.4e-05,0.006875,0.007458,0.009958,5.7e-05,8.4e-05,0.502483,36864,-3024
512,5,3.02815,0.293882,0.005914355,5.9144,0.574,0.5031,170248.255,0.007547,0.004666,9.1e-05,0.007,0.009416,0.015375,5.5e-05,8.4e-05,0.791367,36864,4536
1024,5,5.688325,0.124867,0.005555005,5.555,0.1219,0.1069,180087.175,0.007475,0.005561,0.000109,0.007042,0.008458,0.013166,6.4e-05,8.4e-05,1.011217,36864,5292
2048,5,11.7126,0.301276,0.005719043,5.719,0.1471,0.1289,174946.533,0.007464,0.005807,0.000114,0.007,0.009084,0.015542,6.2e-05,8.4e-05,1.144009,36864,5040
4096,5,26.225192,3.773883,0.006402635,6.4026,0.9214,0.8076,158651.461,0.007979,0.002389,4.7e-05,0.007334,0.01275,0.018291,7.5e-05,0.000125,2.827791,36864,29448
8192,5,47.807192,2.812902,0.005835839,5.8358,0.3434,0.301,171815.865,0.007304,0.001208,2.4e-05,0.007042,0.007958,0.013711,7.3e-05,0.000125,3.40795,36864,-1660
16384,5,98.901175,5.460749,0.006036449,6.0364,0.3333,0.2921,166056.06,0.007766,0.003929,7.7e-05,0.007375,0.008834,0.018297,0.000115,0.000292,7.767142,36864,17908
