scenario_group,attack_case,mode,attack_profile,status,decision,error,latency_ms,unauthorized_success,expected_reject,invariant_violated
A,fake_session_id,mcpd,,error,,session not found or expired,0.885,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.753,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,3.149,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.313,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,1.787,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.376,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.282,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.439,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.325,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.345,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.499,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,2.822,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.278,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.361,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.456,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.885,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.493,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,2.089,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.325,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.476,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.409,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.3,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.54,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.559,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,2.241,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.112,0,1,0
B,cross_tool_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.893,0,1,0
