scenario_group,attack_case,mode,attempts,policy_violation_rate,bypass_success_rate,forgery_acceptance_rate,detection_rate,reject_rate,invariant_violation_count,reject_latency_avg_ms,reject_latency_p95_ms
A,expired_session,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,0.668,1.425
A,expired_session,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.721,1.8
A,expired_session,userspace_tamper_session,8,1.0,1.0,1.0,0.0,0.0,8,2.601,4.266
A,fake_session_id,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,0.452,0.885
A,fake_session_id,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.405,0.828
A,fake_session_id,userspace_tamper_session,8,1.0,1.0,1.0,0.0,0.0,8,3.84,5.532
A,session_token_theft,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.273,3.035
A,session_token_theft,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.545,1.149
A,session_token_theft,userspace_tamper_session,8,0.0,0.0,0.0,1.0,1.0,0,2.543,7.845
B,cross_agent_ticket_reuse,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.568,3.456
B,cross_agent_ticket_reuse,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.77,1.14
B,cross_agent_ticket_reuse,userspace_tamper_approval,8,1.0,1.0,1.0,0.0,0.0,8,12.446,41.399
B,cross_tool_ticket_reuse,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,0.942,1.551
B,cross_tool_ticket_reuse,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.824,1.431
B,cross_tool_ticket_reuse,userspace_tamper_approval,8,1.0,1.0,1.0,0.0,0.0,8,20.039,59.81
B,denied_ticket_reuse,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.048,1.631
B,denied_ticket_reuse,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,1.309,2.975
B,denied_ticket_reuse,userspace_tamper_approval,8,1.0,1.0,1.0,0.0,0.0,8,21.506,57.098
B,expired_ticket_replay,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.753,3.908
B,expired_ticket_replay,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,1.775,3.402
B,expired_ticket_replay,userspace_tamper_approval,8,1.0,1.0,1.0,0.0,0.0,8,37.9,78.15
B,forged_approval_ticket,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.147,2.022
B,forged_approval_ticket,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,2.014,3.85
B,forged_approval_ticket,userspace_tamper_approval,8,1.0,1.0,1.0,0.0,0.0,8,18.852,40.62
C,hash_mismatch,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.251,2.523
C,hash_mismatch,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.979,2.054
C,hash_mismatch,userspace_tamper_metadata,8,1.0,1.0,1.0,0.0,0.0,8,3.058,7.068
C,stale_catalog_replay,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,2.453,6.043
C,stale_catalog_replay,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.659,0.799
C,stale_catalog_replay,userspace_tamper_metadata,8,1.0,1.0,1.0,0.0,0.0,8,3.199,6.692
C,wrong_app_binding,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,0.993,1.743
C,wrong_app_binding,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,1.048,2.549
C,wrong_app_binding,userspace_tamper_metadata,8,1.0,1.0,1.0,0.0,0.0,8,2.096,4.521
D,approval_required_bypass,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,0.42,1.357
D,approval_required_bypass,userspace_compromised,8,1.0,1.0,1.0,0.0,0.0,8,4.762,9.274
D,approval_required_bypass,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.199,0.465
D,invalid_session_hash_bypass,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,0.462,1.147
D,invalid_session_hash_bypass,userspace_compromised,8,1.0,1.0,1.0,0.0,0.0,8,3.674,10.64
D,invalid_session_hash_bypass,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.192,0.3
E,toctou_hash_mismatch_after_approval,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.177,2.016
E,toctou_hash_mismatch_after_approval,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,1.212,1.998
E,toctou_hash_mismatch_after_approval,userspace_tamper_approval,8,0.0,0.0,0.0,1.0,1.0,0,1.264,2.16
E,toctou_tool_swap_after_approval,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.238,2.146
E,toctou_tool_swap_after_approval,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,1.116,2.172
E,toctou_tool_swap_after_approval,userspace_tamper_approval,8,1.0,1.0,1.0,0.0,0.0,8,16.276,41.625
E1,direct_risky_tool,direct,1,1.0,1.0,1.0,0.0,0.0,1,263.236,263.236
E1,direct_safe_tool,direct,1,1.0,1.0,1.0,0.0,0.0,1,7.222,7.222
E1,forwarder_fake_session,forwarder_only,1,0.0,0.0,0.0,1.0,1.0,0,0.359,0.359
