kind,concurrency,lhs,rhs,throughput_ratio,p95_ratio,p99_ratio
mcpd_vs_direct,1,mcpd,direct,0.35329,2.23713,4.203495
mcpd_vs_direct,4,mcpd,direct,0.300525,1.904036,1.376572
mcpd_vs_direct,8,mcpd,direct,0.189796,4.101722,3.12457
variant_vs_mcpd,1,forwarder_only,mcpd,1.000373,1.147745,0.843874
variant_vs_mcpd,4,forwarder_only,mcpd,1.007226,1.178031,1.194774
variant_vs_mcpd,8,forwarder_only,mcpd,1.442708,0.904676,1.054911
variant_vs_mcpd,1,userspace_semantic_plane,mcpd,0.614353,2.935343,1.863368
variant_vs_mcpd,4,userspace_semantic_plane,mcpd,0.747166,2.495108,2.609038
variant_vs_mcpd,8,userspace_semantic_plane,mcpd,1.102339,1.274875,1.522555
