mode,path,sample_idx,status,decision,e2e_ms,arbitration_ms,total_ms
mcpd,allow,0,ok,ALLOW,8.71,0.258,8.03
mcpd,allow,1,ok,ALLOW,4.64,0.177,4.118
mcpd,allow,2,ok,ALLOW,10.585,0.075,3.418
mcpd,allow,3,ok,ALLOW,26.328,0.091,17.31
mcpd,allow,4,ok,ALLOW,19.284,0.22,10.478
mcpd,allow,5,ok,ALLOW,18.778,0.1,12.092
mcpd,allow,6,ok,ALLOW,13.705,0.086,13.311
mcpd,allow,7,ok,ALLOW,9.99,0.112,4.026
mcpd,allow,8,ok,ALLOW,3.455,0.05,1.317
mcpd,allow,9,ok,ALLOW,9.817,0.054,1.612
mcpd,allow,10,ok,ALLOW,17.979,1.18,12.022
mcpd,allow,11,ok,ALLOW,20.293,1.071,14.425
mcpd,allow,12,ok,ALLOW,18.448,0.063,5.754
mcpd,allow,13,ok,ALLOW,9.255,0.07,6.865
mcpd,allow,14,ok,ALLOW,8.079,0.061,6.812
mcpd,allow,15,ok,ALLOW,3.66,0.055,2.314
mcpd,allow,16,ok,ALLOW,7.687,0.109,4.235
mcpd,allow,17,ok,ALLOW,2.555,0.063,1.158
mcpd,allow,18,ok,ALLOW,6.218,0.044,5.852
mcpd,allow,19,ok,ALLOW,2.234,0.046,1.98
mcpd,allow,20,ok,ALLOW,1.311,0.043,1.097
mcpd,allow,21,ok,ALLOW,1.437,0.045,1.152
mcpd,allow,22,ok,ALLOW,1.303,0.041,1.035
mcpd,allow,23,ok,ALLOW,1.486,0.04,1.3
mcpd,allow,24,ok,ALLOW,1.496,0.055,1.253
mcpd,allow,25,ok,ALLOW,1.519,0.048,1.249
mcpd,allow,26,ok,ALLOW,2.023,0.043,1.625
mcpd,allow,27,ok,ALLOW,2.161,0.049,1.482
mcpd,allow,28,ok,ALLOW,10.943,0.554,6.889
mcpd,allow,29,ok,ALLOW,1.857,0.052,1.354
mcpd,allow,30,ok,ALLOW,2.653,0.048,1.054
mcpd,allow,31,ok,ALLOW,1.548,0.054,1.206
mcpd,allow,32,ok,ALLOW,4.15,0.054,1.134
mcpd,allow,33,ok,ALLOW,3.76,0.05,3.24
mcpd,allow,34,ok,ALLOW,6.028,0.049,5.576
mcpd,allow,35,ok,ALLOW,4.0,0.258,3.715
mcpd,allow,36,ok,ALLOW,10.174,0.091,9.902
mcpd,allow,37,ok,ALLOW,10.097,0.202,4.435
mcpd,allow,38,ok,ALLOW,12.175,0.247,11.848
mcpd,allow,39,ok,ALLOW,5.985,0.072,1.95
mcpd,deny,0,error,DENY,0.922,0.051,0.549
mcpd,deny,1,error,DENY,0.666,0.04,0.505
mcpd,deny,2,error,DENY,4.298,0.055,3.76
mcpd,deny,3,error,DENY,0.804,0.045,0.587
mcpd,deny,4,error,DENY,1.657,0.066,1.209
mcpd,deny,5,error,DENY,3.005,0.05,0.592
mcpd,deny,6,error,DENY,3.113,0.058,0.807
mcpd,deny,7,error,DENY,3.138,0.051,0.841
mcpd,deny,8,error,DENY,1.111,0.051,0.832
mcpd,deny,9,error,DENY,1.597,0.044,1.233
mcpd,deny,10,error,DENY,1.058,0.037,0.865
mcpd,deny,11,error,DENY,0.709,0.037,0.453
mcpd,deny,12,error,DENY,4.915,0.128,1.011
mcpd,deny,13,error,DENY,0.865,0.054,0.562
mcpd,deny,14,error,DENY,0.835,0.07,0.609
mcpd,deny,15,error,DENY,4.863,0.057,0.693
mcpd,deny,16,error,DENY,12.192,0.168,10.361
mcpd,deny,17,error,DENY,5.765,0.097,1.767
mcpd,deny,18,error,DENY,3.621,0.089,0.624
mcpd,deny,19,error,DENY,14.264,0.09,3.621
mcpd,deny,20,error,DENY,6.449,0.095,0.774
mcpd,deny,21,error,DENY,5.108,0.07,1.195
mcpd,deny,22,error,DENY,1.546,0.088,0.813
mcpd,deny,23,error,DENY,8.214,0.112,3.016
mcpd,deny,24,error,DENY,1.189,0.063,0.649
mcpd,deny,25,error,DENY,1.174,0.065,0.651
mcpd,deny,26,error,DENY,1.193,0.059,0.546
mcpd,deny,27,error,DENY,2.41,0.043,0.487
mcpd,deny,28,error,DENY,1.339,0.048,0.672
mcpd,deny,29,error,DENY,1.334,0.049,0.936
mcpd,deny,30,error,DENY,0.891,0.069,0.675
mcpd,deny,31,error,DENY,0.93,0.042,0.577
mcpd,deny,32,error,DENY,2.546,1.356,1.911
mcpd,deny,33,error,DENY,1.338,0.069,0.725
mcpd,deny,34,error,DENY,2.366,0.467,2.101
mcpd,deny,35,error,DENY,1.194,0.041,0.547
mcpd,deny,36,error,DENY,1.334,0.044,0.886
mcpd,deny,37,error,DENY,1.027,0.059,0.762
mcpd,deny,38,error,DENY,1.081,0.038,0.584
mcpd,deny,39,error,DENY,0.943,0.153,0.707
mcpd,defer,0,error,DEFER,2.267,0.072,0.62
mcpd,defer,1,error,DEFER,7.616,0.131,5.442
mcpd,defer,2,error,DEFER,5.084,0.104,0.651
mcpd,defer,3,error,DEFER,1.102,0.064,0.623
mcpd,defer,4,error,DEFER,7.661,0.109,0.804
mcpd,defer,5,error,DEFER,9.244,0.247,5.825
mcpd,defer,6,error,DEFER,1.055,0.059,0.549
mcpd,defer,7,error,DEFER,2.795,0.089,2.478
mcpd,defer,8,error,DEFER,9.361,0.09,3.006
mcpd,defer,9,error,DEFER,1.867,0.357,1.488
mcpd,defer,10,error,DEFER,2.282,0.097,1.718
mcpd,defer,11,error,DEFER,0.91,0.138,0.724
mcpd,defer,12,error,DEFER,11.137,0.719,3.519
mcpd,defer,13,error,DEFER,6.39,0.111,2.236
mcpd,defer,14,error,DEFER,4.699,0.096,0.721
mcpd,defer,15,error,DEFER,0.976,0.063,0.647
mcpd,defer,16,error,DEFER,17.04,0.111,4.717
mcpd,defer,17,error,DEFER,1.827,0.096,0.748
mcpd,defer,18,error,DEFER,1.148,0.064,0.946
mcpd,defer,19,error,DEFER,0.956,0.061,0.614
mcpd,defer,20,error,DEFER,0.965,0.051,0.562
mcpd,defer,21,error,DEFER,0.877,0.065,0.631
mcpd,defer,22,error,DEFER,7.093,0.105,6.861
mcpd,defer,23,error,DEFER,0.874,0.108,0.6
mcpd,defer,24,error,DEFER,0.893,0.052,0.621
mcpd,defer,25,error,DEFER,0.825,0.103,0.663
mcpd,defer,26,error,DEFER,2.208,0.225,1.922
mcpd,defer,27,error,DEFER,4.795,0.075,4.301
mcpd,defer,28,error,DEFER,0.778,0.051,0.537
mcpd,defer,29,error,DEFER,0.705,0.047,0.53
mcpd,defer,30,error,DEFER,3.849,0.338,2.495
mcpd,defer,31,error,DEFER,1.14,0.096,0.942
mcpd,defer,32,error,DEFER,0.755,0.054,0.555
mcpd,defer,33,error,DEFER,3.938,0.075,1.16
mcpd,defer,34,error,DEFER,0.83,0.098,0.664
mcpd,defer,35,error,DEFER,1.909,0.077,0.907
mcpd,defer,36,error,DEFER,8.384,0.099,6.989
mcpd,defer,37,error,DEFER,1.1,0.07,0.627
mcpd,defer,38,error,DEFER,4.425,0.062,0.685
mcpd,defer,39,error,DEFER,6.161,0.338,2.138
userspace_semantic_plane,allow,0,ok,ALLOW,43.911,0.104,43.528
userspace_semantic_plane,allow,1,ok,ALLOW,93.684,0.596,81.869
userspace_semantic_plane,allow,2,ok,ALLOW,40.198,4.107,36.228
userspace_semantic_plane,allow,3,ok,ALLOW,60.265,0.228,29.158
userspace_semantic_plane,allow,4,ok,ALLOW,34.301,0.011,28.266
userspace_semantic_plane,allow,5,ok,ALLOW,36.463,0.409,31.839
userspace_semantic_plane,allow,6,ok,ALLOW,9.345,0.029,8.497
userspace_semantic_plane,allow,7,ok,ALLOW,66.419,0.011,64.538
