scale,apps,tools,catalog_bytes,load_manifests_avg_ms,load_manifests_p95_ms,load_tools_avg_ms,load_tools_p95_ms,render_catalog_avg_ms,render_catalog_p95_ms
1,14,43,26713,2.041,3.731,1.172,1.621,0.035,0.044
2,28,86,53425,2.918,3.8,6.6,8.014,0.089,0.104
4,56,172,106849,8.977,12.487,7.477,12.039,0.33,0.343
