risky_pct,requests,success_rate,defer_rate,deny_rate,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
0,80,1.0,0.0,0.0,5.81,4.531,13.849,25.112
25,80,0.75,0.25,0.0,4.055,2.505,12.036,18.815
50,80,0.5,0.5,0.0,7.733,1.825,42.226,57.471
75,80,0.25,0.75,0.0,4.758,2.648,18.2,35.589
100,80,0.0,1.0,0.0,4.951,0.867,16.562,78.335
