attempt,attacker_uid,sub_case,decision,reason,kernel_errno,latency_ms,outcome
139,1001,blind,DENY,binding_mismatch,0,0.007,blocked
140,1001,leaked,ALLOW,allow,0,0.007,passed
141,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
142,1001,leaked,ALLOW,allow,0,0.007,passed
143,1001,blind,DENY,binding_mismatch,0,0.007,blocked
144,1001,blind,DENY,binding_mismatch,0,0.007,blocked
145,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
146,1001,blind,DENY,binding_mismatch,0,0.007,blocked
147,1001,leaked,ALLOW,allow,0,0.007,passed
148,1001,leaked,ALLOW,allow,0,0.007,passed
149,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
150,1001,blind,DENY,binding_mismatch,0,0.007,blocked
151,1001,leaked,ALLOW,allow,0,0.007,passed
152,1001,leaked,ALLOW,allow,0,0.008,passed
153,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
154,1001,blind,DENY,binding_mismatch,0,0.007,blocked
155,1001,leaked,ALLOW,allow,0,0.007,passed
156,1001,blind,DENY,binding_mismatch,0,0.007,blocked
157,1001,leaked,ALLOW,allow,0,0.007,passed
158,1001,leaked,ALLOW,allow,0,0.007,passed
159,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
160,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
161,1001,blind,DENY,binding_mismatch,0,0.012,blocked
162,1001,guessed,DENY,binding_mismatch,0,0.008,blocked
163,1001,leaked,ALLOW,allow,0,0.007,passed
164,1001,blind,DENY,binding_mismatch,0,0.007,blocked
165,1001,blind,DENY,binding_mismatch,0,0.007,blocked
166,1001,blind,DENY,binding_mismatch,0,0.007,blocked
167,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
168,1001,leaked,ALLOW,allow,0,0.011,passed
169,1001,leaked,ALLOW,allow,0,0.010,passed
170,1001,leaked,ALLOW,allow,0,0.010,passed
171,1001,leaked,ALLOW,allow,0,0.009,passed
172,1001,guessed,DENY,binding_mismatch,0,0.009,blocked
173,1001,leaked,ALLOW,allow,0,0.007,passed
174,1001,blind,DENY,binding_mismatch,0,0.007,blocked
175,1001,leaked,ALLOW,allow,0,0.007,passed
