attempt,attacker_uid,sub_case,decision,reason,kernel_errno,latency_ms,outcome
283,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
284,1001,leaked,ALLOW,allow,0,0.007,passed
285,1001,leaked,ALLOW,allow,0,0.007,passed
286,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
287,1001,leaked,ALLOW,allow,0,0.007,passed
288,1001,leaked,ALLOW,allow,0,0.007,passed
289,1001,blind,DENY,binding_mismatch,0,0.007,blocked
290,1001,leaked,ALLOW,allow,0,0.007,passed
291,1001,blind,DENY,binding_mismatch,0,0.007,blocked
292,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
293,1001,blind,DENY,binding_mismatch,0,0.007,blocked
294,1001,blind,DENY,binding_mismatch,0,0.007,blocked
295,1001,blind,DENY,binding_mismatch,0,0.007,blocked
296,1001,leaked,ALLOW,allow,0,0.007,passed
297,1001,blind,DENY,binding_mismatch,0,0.007,blocked
298,1001,leaked,ALLOW,allow,0,0.007,passed
299,1001,blind,DENY,binding_mismatch,0,0.007,blocked
300,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
301,1001,leaked,ALLOW,allow,0,0.007,passed
302,1001,leaked,ALLOW,allow,0,0.007,passed
303,1001,blind,DENY,binding_mismatch,0,0.007,blocked
304,1001,leaked,ALLOW,allow,0,0.007,passed
305,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
306,1001,blind,DENY,binding_mismatch,0,0.007,blocked
307,1001,leaked,ALLOW,allow,0,0.013,passed
308,1001,guessed,DENY,binding_mismatch,0,0.010,blocked
309,1001,blind,DENY,binding_mismatch,0,0.013,blocked
310,1001,guessed,DENY,binding_mismatch,0,0.008,blocked
311,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
312,1001,blind,DENY,binding_mismatch,0,0.007,blocked
313,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
314,1001,leaked,ALLOW,allow,0,0.007,passed
315,1001,leaked,ALLOW,allow,0,0.007,passed
316,1001,leaked,ALLOW,allow,0,0.007,passed
317,1001,leaked,ALLOW,allow,0,0.007,passed
318,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
319,1001,blind,DENY,binding_mismatch,0,0.007,blocked
320,1001,leaked,ALLOW,allow,0,0.007,passed
321,1001,leaked,ALLOW,allow,0,0.016,passed
322,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
323,1001,blind,DENY,binding_mismatch,0,0.007,blocked
324,1001,blind,DENY,binding_mismatch,0,0.007,blocked
325,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
326,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
327,1001,guessed,DENY,binding_mismatch,0,0.010,blocked
328,1001,guessed,DENY,binding_mismatch,0,0.010,blocked
329,1001,leaked,ALLOW,allow,0,0.010,passed
330,1001,guessed,DENY,binding_mismatch,0,0.010,blocked
331,1001,leaked,ALLOW,allow,0,0.010,passed
332,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
333,1001,blind,DENY,binding_mismatch,0,0.007,blocked
334,1001,leaked,ALLOW,allow,0,0.007,passed
335,1001,blind,DENY,binding_mismatch,0,0.007,blocked
336,1001,leaked,ALLOW,allow,0,0.007,passed
337,1001,blind,DENY,binding_mismatch,0,0.007,blocked
338,1001,leaked,ALLOW,allow,0,0.007,passed
339,1001,leaked,ALLOW,allow,0,0.007,passed
340,1001,leaked,ALLOW,allow,0,0.007,passed
341,1001,leaked,ALLOW,allow,0,0.007,passed
342,1001,leaked,ALLOW,allow,0,0.007,passed
343,1001,leaked,ALLOW,allow,0,0.007,passed
344,1001,blind,DENY,binding_mismatch,0,0.007,blocked
345,1001,leaked,ALLOW,allow,0,0.007,passed
346,1001,blind,DENY,binding_mismatch,0,0.007,blocked
347,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
348,1001,leaked,ALLOW,allow,0,0.007,passed
349,1001,leaked,ALLOW,allow,0,0.007,passed
350,1001,leaked,ALLOW,allow,0,0.007,passed
351,1001,leaked,ALLOW,allow,0,0.007,passed
352,1001,blind,DENY,binding_mismatch,0,0.007,blocked
