iteration,decision,reason,thread_ms
1,DEFER,approval_ticket_unknown,0.135
2,DEFER,approval_ticket_unknown,0.029
3,DEFER,approval_ticket_unknown,0.017
4,DEFER,approval_ticket_unknown,0.014
5,DEFER,approval_ticket_unknown,0.018
6,DEFER,approval_ticket_unknown,0.032
7,DEFER,approval_ticket_unknown,0.033
8,DEFER,approval_ticket_unknown,0.024
9,DEFER,approval_ticket_unknown,0.023
10,DEFER,approval_ticket_unknown,0.024
11,DEFER,approval_ticket_unknown,0.029
12,DEFER,approval_ticket_unknown,0.020
13,DEFER,approval_ticket_unknown,0.015
14,DEFER,approval_ticket_unknown,0.025
15,DEFER,approval_ticket_unknown,0.068
16,DENY,hash_mismatch,0.081
17,DENY,hash_mismatch,0.051
18,DENY,hash_mismatch,0.038
19,DENY,hash_mismatch,0.013
20,DENY,hash_mismatch,0.013
21,DENY,hash_mismatch,0.013
22,DENY,hash_mismatch,0.012
23,DENY,hash_mismatch,0.013
24,DENY,hash_mismatch,0.012
25,DENY,hash_mismatch,0.014
26,DENY,hash_mismatch,0.012
27,DENY,hash_mismatch,0.013
28,DENY,hash_mismatch,0.012
29,DENY,hash_mismatch,0.018
30,DENY,hash_mismatch,0.048
31,DENY,hash_mismatch,0.012
32,DENY,hash_mismatch,0.012
33,DENY,hash_mismatch,0.011
34,DENY,hash_mismatch,0.011
35,DENY,hash_mismatch,0.011
36,DENY,hash_mismatch,0.011
37,DENY,hash_mismatch,0.011
38,DENY,hash_mismatch,0.011
39,DENY,hash_mismatch,0.012
40,DENY,hash_mismatch,0.012
41,DENY,hash_mismatch,0.012
42,DENY,hash_mismatch,0.012
43,DENY,hash_mismatch,0.011
44,DENY,hash_mismatch,0.012
45,DENY,hash_mismatch,0.012
46,DENY,hash_mismatch,0.012
47,DENY,hash_mismatch,0.013
48,DENY,hash_mismatch,0.011
49,DENY,hash_mismatch,0.011
50,DENY,hash_mismatch,0.011
51,DENY,hash_mismatch,0.011
52,DENY,hash_mismatch,0.011
53,DENY,hash_mismatch,0.011
54,DENY,hash_mismatch,0.011
55,DENY,hash_mismatch,0.011
56,DENY,hash_mismatch,0.011
57,DENY,hash_mismatch,0.011
58,DENY,hash_mismatch,0.012
59,DENY,hash_mismatch,0.011
60,DENY,hash_mismatch,0.011
61,DENY,hash_mismatch,0.011
62,DENY,hash_mismatch,0.011
63,DENY,hash_mismatch,0.011
64,DENY,hash_mismatch,0.011
65,DENY,hash_mismatch,0.011
66,DENY,hash_mismatch,0.011
67,DENY,hash_mismatch,0.011
68,DENY,hash_mismatch,0.011
69,DENY,hash_mismatch,0.011
70,DENY,hash_mismatch,0.011
71,DENY,hash_mismatch,0.011
72,DENY,hash_mismatch,0.012
73,DENY,hash_mismatch,0.011
74,DENY,hash_mismatch,0.011
75,DENY,hash_mismatch,0.020
76,DENY,hash_mismatch,0.015
77,DENY,hash_mismatch,0.012
78,DENY,hash_mismatch,0.012
79,DENY,hash_mismatch,0.012
80,DENY,hash_mismatch,0.012
81,DENY,hash_mismatch,0.011
82,DENY,hash_mismatch,0.011
83,DENY,hash_mismatch,0.012
84,DENY,hash_mismatch,0.012
85,DENY,hash_mismatch,0.014
86,DENY,hash_mismatch,0.011
87,DENY,hash_mismatch,0.012
88,DENY,hash_mismatch,0.012
89,DENY,hash_mismatch,0.012
90,DENY,hash_mismatch,0.012
91,DENY,hash_mismatch,0.011
92,DENY,hash_mismatch,0.011
93,DENY,hash_mismatch,0.011
94,DENY,hash_mismatch,0.011
95,DENY,hash_mismatch,0.011
96,DENY,hash_mismatch,0.011
97,DENY,hash_mismatch,0.011
98,DENY,hash_mismatch,0.011
99,DENY,hash_mismatch,0.012
100,DENY,hash_mismatch,0.012
101,DENY,hash_mismatch,0.012
102,DENY,hash_mismatch,0.011
103,DENY,hash_mismatch,0.011
104,DENY,hash_mismatch,0.011
