scale,apps,tools,catalog_bytes,load_manifests_avg_ms,load_manifests_p95_ms,load_tools_avg_ms,load_tools_p95_ms,render_catalog_avg_ms,render_catalog_p95_ms
1,14,43,26713,2.307,2.833,2.407,3.093,0.119,0.253
2,28,86,53425,3.235,5.144,4.118,6.652,1.037,2.33
4,56,172,106849,10.498,11.356,7.33,9.278,0.522,1.061
