risky_pct,requests,success_rate,defer_rate,deny_rate,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
0,80,1.0,0.0,0.0,4.955,4.342,9.294,17.234
25,80,0.75,0.25,0.0,3.738,3.665,6.489,8.711
50,80,0.5,0.5,0.0,3.323,2.529,7.95,11.265
75,80,0.25,0.75,0.0,2.92,2.367,7.837,8.742
100,80,0.0,1.0,0.0,11.205,6.886,32.132,50.349
