mode,path,sample_idx,status,decision,e2e_ms,arbitration_ms,total_ms
mcpd,allow,0,ok,ALLOW,6.677,0.101,5.417
mcpd,allow,1,ok,ALLOW,8.081,0.272,7.05
mcpd,allow,2,ok,ALLOW,9.598,0.83,4.636
mcpd,allow,3,ok,ALLOW,7.608,0.076,5.111
mcpd,allow,4,ok,ALLOW,8.284,2.365,6.556
mcpd,allow,5,ok,ALLOW,3.841,0.074,3.374
mcpd,allow,6,ok,ALLOW,16.726,0.055,13.372
mcpd,allow,7,ok,ALLOW,40.633,0.216,40.063
mcpd,allow,8,ok,ALLOW,7.812,0.162,7.317
mcpd,allow,9,ok,ALLOW,10.203,0.058,9.768
mcpd,allow,10,ok,ALLOW,4.556,0.105,4.267
mcpd,allow,11,ok,ALLOW,3.06,0.059,2.402
mcpd,allow,12,ok,ALLOW,16.619,0.16,13.896
mcpd,allow,13,ok,ALLOW,14.155,0.178,12.222
mcpd,allow,14,ok,ALLOW,10.673,0.073,8.772
mcpd,allow,15,ok,ALLOW,19.989,0.139,17.426
mcpd,allow,16,ok,ALLOW,17.256,0.101,15.751
mcpd,allow,17,ok,ALLOW,12.41,0.22,10.076
mcpd,allow,18,ok,ALLOW,12.236,0.192,11.588
mcpd,allow,19,ok,ALLOW,2.905,0.066,2.395
mcpd,allow,20,ok,ALLOW,12.945,0.056,12.38
mcpd,allow,21,ok,ALLOW,5.038,0.069,4.122
mcpd,allow,22,ok,ALLOW,11.642,0.054,10.985
mcpd,allow,23,ok,ALLOW,7.509,0.092,7.021
mcpd,allow,24,ok,ALLOW,14.074,0.245,13.6
mcpd,allow,25,ok,ALLOW,16.464,0.334,15.574
mcpd,allow,26,ok,ALLOW,1.393,0.069,1.132
mcpd,allow,27,ok,ALLOW,4.877,0.055,4.504
mcpd,allow,28,ok,ALLOW,5.445,0.232,5.029
mcpd,allow,29,ok,ALLOW,10.802,0.072,8.032
mcpd,allow,30,ok,ALLOW,5.665,0.16,5.379
mcpd,allow,31,ok,ALLOW,5.768,0.066,5.251
mcpd,allow,32,ok,ALLOW,4.752,0.066,4.326
mcpd,allow,33,ok,ALLOW,11.761,0.09,11.371
mcpd,allow,34,ok,ALLOW,4.024,0.185,2.498
mcpd,allow,35,ok,ALLOW,8.834,0.077,7.691
mcpd,allow,36,ok,ALLOW,7.066,0.059,6.543
mcpd,allow,37,ok,ALLOW,6.618,0.077,4.264
mcpd,allow,38,ok,ALLOW,1.545,0.053,1.212
mcpd,allow,39,ok,ALLOW,15.064,0.066,14.78
mcpd,deny,0,error,DENY,4.357,1.787,2.299
mcpd,deny,1,error,DENY,3.696,0.211,2.549
mcpd,deny,2,error,DENY,4.75,0.07,2.322
mcpd,deny,3,error,DENY,3.384,0.127,1.272
mcpd,deny,4,error,DENY,1.746,0.068,0.561
