stage,baseline_mode,bypass_mode,baseline_avg_ms,baseline_p50_ms,bypass_avg_ms,bypass_p50_ms,delta_avg_ms,delta_p50_ms,delta_bootstrap_mean_ms,delta_ci_lo,delta_ci_hi,note
hash_guard_body,full,skip_hash,0.008377,0.007584,0.008556,0.0075,-0.000179,8.4e-05,-0.000181,-0.00031,-7.7e-05,hash_mismatch guard body is dead under valid hash (delta = noise floor)
binding_guard_body,full,skip_binding,0.008377,0.007584,0.008467,0.0075,-9e-05,8.4e-05,-9.1e-05,-0.000191,1e-06,binding_mismatch guard body is dead under valid binding (delta = noise floor)
