rep,mode,samples,avg_ms,std_ms,ci95_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
0,ticket_trigger_skip,1000,0.008103,0.001799,0.000111,0.00775,0.010213,0.014875,0.00725,0.040167
0,skip_lookups,10000,0.007772,0.001185,2.3e-05,0.007541,0.008333,0.0135,0.007083,0.032833
0,skip_hash,10000,0.007932,0.001967,3.9e-05,0.0075,0.010166,0.015334,0.007125,0.041584
0,skip_binding,10000,0.009069,0.031552,0.000618,0.007708,0.00875,0.015667,0.007125,1.930625
0,ticket_trigger_full,1000,0.010954,0.013008,0.000806,0.00975,0.011541,0.031547,0.00825,0.268167
0,full,10000,0.008153,0.0088,0.000172,0.007667,0.008709,0.013792,0.007042,0.6545
1,ticket_trigger_skip,1000,0.007602,0.000651,4e-05,0.0075,0.007833,0.010587,0.00725,0.014791
1,skip_lookups,10000,0.00741,0.000657,1.3e-05,0.00725,0.007917,0.010416,0.007,0.028166
1,full,10000,0.007658,0.00075,1.5e-05,0.007541,0.008083,0.011336,0.007083,0.022083
1,ticket_trigger_full,1000,0.01262,0.002186,0.000135,0.012417,0.014335,0.019292,0.010291,0.058292
1,skip_binding,10000,0.007754,0.001191,2.3e-05,0.0075,0.008458,0.013875,0.007166,0.028584
1,skip_hash,10000,0.008981,0.048191,0.000945,0.007625,0.008584,0.022084,0.007083,3.471083
2,ticket_trigger_full,1000,0.019209,0.012265,0.00076,0.017125,0.025027,0.060442,0.0145,0.270708
2,skip_lookups,10000,0.008137,0.006464,0.000127,0.00775,0.008541,0.014291,0.007375,0.473334
2,full,10000,0.009039,0.007548,0.000148,0.007917,0.021458,0.022792,0.0075,0.42975
2,skip_hash,10000,0.008392,0.006874,0.000135,0.007917,0.008542,0.017377,0.0075,0.437541
2,skip_binding,10000,0.012217,0.028844,0.000565,0.00825,0.023542,0.0505,0.007334,1.709459
2,ticket_trigger_skip,1000,0.0186,0.021667,0.001343,0.008667,0.050819,0.106071,0.007791,0.294458
3,skip_hash,10000,0.014729,0.030374,0.000595,0.008459,0.030667,0.064211,0.007708,1.949083
3,full,10000,0.012699,0.01534,0.000301,0.008292,0.0235,0.050461,0.007625,0.570542
3,skip_binding,10000,0.010176,0.01137,0.000223,0.008125,0.022375,0.026958,0.007666,0.5755
3,skip_lookups,10000,0.008772,0.006398,0.000125,0.007958,0.010083,0.024334,0.007125,0.242042
3,ticket_trigger_full,1000,0.022063,0.005475,0.000339,0.021521,0.02743,0.040354,0.017916,0.133292
3,ticket_trigger_skip,1000,0.008275,0.001836,0.000114,0.007875,0.010294,0.017094,0.007417,0.031542
4,skip_binding,10000,0.007607,0.00089,1.7e-05,0.007375,0.008333,0.011042,0.007125,0.040959
4,skip_hash,10000,0.007677,0.002484,4.9e-05,0.007417,0.008416,0.012458,0.007084,0.169583
4,ticket_trigger_skip,1000,0.007478,0.000694,4.3e-05,0.007375,0.00775,0.010336,0.007083,0.019666
4,ticket_trigger_full,1000,0.029363,0.009842,0.00061,0.02875,0.036671,0.065258,0.023042,0.197375
4,full,10000,0.008009,0.001362,2.7e-05,0.007875,0.008667,0.013209,0.00725,0.054625
4,skip_lookups,10000,0.007701,0.002138,4.2e-05,0.007417,0.008583,0.012458,0.007042,0.174959
5,skip_binding,10000,0.007768,0.001308,2.6e-05,0.0075,0.009125,0.011294,0.007083,0.058375
5,skip_lookups,10000,0.007785,0.001827,3.6e-05,0.007458,0.009002,0.012166,0.007042,0.119375
5,skip_hash,10000,0.007766,0.002139,4.2e-05,0.007458,0.009333,0.0125,0.007083,0.149584
5,ticket_trigger_full,1000,0.033991,0.00818,0.000507,0.033146,0.03972,0.048172,0.029166,0.269792
5,full,10000,0.00784,0.001417,2.8e-05,0.007542,0.009377,0.012625,0.007125,0.0775
5,ticket_trigger_skip,1000,0.007645,0.001091,6.8e-05,0.007458,0.008083,0.01063,0.007208,0.025708
6,ticket_trigger_full,1000,0.042487,0.01132,0.000702,0.041167,0.049966,0.061738,0.035875,0.356458
6,skip_lookups,10000,0.007732,0.002654,5.2e-05,0.007417,0.008667,0.012083,0.007083,0.208417
6,ticket_trigger_skip,1000,0.00759,0.000945,5.9e-05,0.007417,0.008166,0.010461,0.007208,0.022166
6,full,10000,0.007825,0.001555,3e-05,0.007583,0.008875,0.011793,0.007042,0.1125
6,skip_hash,10000,0.007651,0.000881,1.7e-05,0.007459,0.008208,0.012292,0.007208,0.02725
6,skip_binding,10000,0.007582,0.002433,4.8e-05,0.007375,0.008125,0.010625,0.007125,0.144917
7,full,10000,0.007563,0.001112,2.2e-05,0.007375,0.007961,0.012542,0.007125,0.054833
7,ticket_trigger_skip,1000,0.007513,0.000949,5.9e-05,0.007333,0.008084,0.010834,0.007083,0.019167
7,skip_lookups,10000,0.007468,0.001708,3.3e-05,0.007333,0.007958,0.010375,0.007083,0.166208
7,skip_hash,10000,0.007534,0.000658,1.3e-05,0.007416,0.008041,0.010542,0.007083,0.020375
7,skip_binding,10000,0.007737,0.002849,5.6e-05,0.007459,0.008583,0.011167,0.007,0.255708
7,ticket_trigger_full,1000,0.047917,0.017231,0.001068,0.046104,0.055004,0.067885,0.041666,0.546209
8,skip_lookups,10000,0.007341,0.000559,1.1e-05,0.00725,0.007625,0.010083,0.006958,0.021
8,skip_binding,10000,0.00743,0.000635,1.2e-05,0.007292,0.007792,0.010458,0.007041,0.020834
8,skip_hash,10000,0.007346,0.000595,1.2e-05,0.00725,0.007625,0.010208,0.007,0.021208
8,full,10000,0.007346,0.000548,1.1e-05,0.00725,0.007583,0.009875,0.007041,0.023292
8,ticket_trigger_full,1000,0.062522,0.025621,0.001588,0.058333,0.088669,0.119417,0.049625,0.622208
8,ticket_trigger_skip,1000,0.00732,0.000613,3.8e-05,0.007208,0.007583,0.010125,0.007,0.014292
9,full,10000,0.007636,0.001122,2.2e-05,0.007458,0.00825,0.011917,0.007041,0.06225
9,skip_hash,10000,0.00755,0.002085,4.1e-05,0.007375,0.008083,0.010458,0.007041,0.117625
9,skip_binding,10000,0.007332,0.000556,1.1e-05,0.00725,0.007583,0.01,0.007,0.022792
9,skip_lookups,10000,0.00734,0.000661,1.3e-05,0.007208,0.007667,0.010376,0.006958,0.02425
9,ticket_trigger_skip,1000,0.007299,0.000631,3.9e-05,0.007208,0.007542,0.009086,0.007,0.02
9,ticket_trigger_full,1000,0.093613,0.034436,0.002134,0.091542,0.101294,0.114085,0.082458,1.131166
