mode,samples,avg_ms,std_ms,ci95_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
full,100000,0.008377,0.00634,3.9e-05,0.007584,0.01025,0.02275,0.007041,0.6545
skip_lookups,100000,0.007746,0.003239,2e-05,0.007417,0.008458,0.012792,0.006958,0.473334
ticket_trigger_full,10000,0.037474,0.02944,0.000577,0.031541,0.092044,0.100418,0.00825,1.131166
ticket_trigger_skip,10000,0.008742,0.007676,0.00015,0.007458,0.012625,0.036501,0.007,0.294458
skip_hash,100000,0.008556,0.018322,0.000114,0.0075,0.010333,0.024416,0.007,3.471083
skip_binding,100000,0.008467,0.014135,8.8e-05,0.0075,0.010334,0.022959,0.007,1.930625
