system,payload_label,payload_bytes,payload_display,runs,requests_per_run,errors_total,latency_avg_ms,latency_avg_std_ms,latency_avg_ci_lo_ms,latency_avg_ci_hi_ms,latency_p50_ms,latency_p50_std_ms,latency_p50_ci_lo_ms,latency_p50_ci_hi_ms,latency_p95_ms,latency_p95_std_ms,latency_p95_ci_lo_ms,latency_p95_ci_hi_ms,latency_p99_ms,latency_p99_std_ms,latency_p99_ci_lo_ms,latency_p99_ci_hi_ms,session_lookup_ms_mean,arbitration_ms_mean,tool_exec_ms_mean,total_ms_mean,tool_exec_share_pct_mean,latency_avg_pvalue_vs_userspace,latency_p95_pvalue_vs_userspace
kernel,small,100,100 B,1,50,0,0.883,0.0,0.883,0.883,0.831,0.0,0.831,0.831,1.068,0.0,1.068,1.068,1.212,0.0,1.212,1.212,0.005,0.028,0.278,0.732,37.806,1.0,1.0
kernel,medium,10240,"10 KB (10,240 B)",1,50,0,0.838,0.0,0.838,0.838,0.834,0.0,0.834,0.834,0.879,0.0,0.879,0.879,0.891,0.0,0.891,0.891,0.004,0.027,0.269,0.682,39.36,1.0,1.0
kernel,large,1048576,"1 MB (1,048,576 B)",1,50,0,7.991,0.0,7.991,7.991,8.058,0.0,8.058,8.058,9.031,0.0,9.031,9.031,9.666,0.0,9.666,9.666,0.006,0.038,4.106,4.564,89.982,1.0,1.0
seccomp,small,100,100 B,1,50,0,0.859,0.0,0.859,0.859,0.811,0.0,0.811,0.811,1.063,0.0,1.063,1.063,1.135,0.0,1.135,1.135,0.004,0.005,0.272,0.693,39.127,1.0,1.0
seccomp,medium,10240,"10 KB (10,240 B)",1,50,0,0.907,0.0,0.907,0.907,0.895,0.0,0.895,0.895,1.038,0.0,1.038,1.038,1.11,0.0,1.11,1.11,0.004,0.005,0.289,0.715,40.373,1.0,1.0
seccomp,large,1048576,"1 MB (1,048,576 B)",1,50,0,9.996,0.0,9.996,9.996,9.907,0.0,9.907,9.907,11.099,0.0,11.099,11.099,11.607,0.0,11.607,11.607,0.006,0.007,3.988,6.415,62.132,1.0,1.0
userspace,small,100,100 B,1,50,0,0.974,0.0,0.974,0.974,0.969,0.0,0.969,0.969,1.096,0.0,1.096,1.096,1.207,0.0,1.207,1.207,0.005,0.005,0.329,0.808,40.834,,
userspace,medium,10240,"10 KB (10,240 B)",1,50,0,0.876,0.0,0.876,0.876,0.844,0.0,0.844,0.844,1.062,0.0,1.062,1.062,1.083,0.0,1.083,1.083,0.005,0.004,0.301,0.709,42.511,,
userspace,large,1048576,"1 MB (1,048,576 B)",1,50,0,8.515,0.0,8.515,8.515,8.231,0.0,8.231,8.231,10.443,0.0,10.443,10.443,10.744,0.0,10.744,10.744,0.007,0.006,4.342,4.789,90.665,,
