mode,samples,avg_ms,std_ms,ci95_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
full,300000,0.007969,0.032444,0.000116,0.007459,0.008958,0.01575,0.006958,17.476166
skip_lookups,100000,0.007874,0.002807,1.7e-05,0.0075,0.008709,0.015625,0.006958,0.291667
ticket_trigger_full,1000,0.010073,0.00375,0.000232,0.009083,0.016173,0.02722,0.008,0.052542
ticket_trigger_skip,1000,0.008061,0.003208,0.000199,0.007459,0.010088,0.019584,0.007125,0.068542
skip_hash,100000,0.007948,0.024959,0.000155,0.007458,0.009,0.015667,0.006917,7.790042
skip_binding,100000,0.007818,0.002833,1.8e-05,0.007417,0.008958,0.014625,0.007,0.367834
