stage,baseline_mode,bypass_mode,baseline_avg_ms,baseline_p50_ms,bypass_avg_ms,bypass_p50_ms,delta_avg_ms,delta_p50_ms,delta_bootstrap_mean_ms,delta_ci_lo,delta_ci_hi,note
hash_guard_body,full,skip_hash,0.008189,0.007792,0.008392,0.00775,-0.000204,4.2e-05,-0.000203,-0.000396,-5.7e-05,hash_mismatch guard body is dead under valid hash (delta = noise floor)
binding_guard_body,full,skip_binding,0.008189,0.007792,0.008665,0.007667,-0.000476,0.000125,-0.000463,-0.000937,-0.000128,binding_mismatch guard body is dead under valid binding (delta = noise floor)
