rep,mode,samples,avg_ms,std_ms,ci95_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
0,ticket_trigger_skip,100,0.01408,0.038126,0.007473,0.008042,0.01445,0.15383,0.007792,0.35975
0,skip_lookups,10000,0.008929,0.026422,0.000518,0.008041,0.010666,0.021708,0.007625,2.599083
0,skip_hash,10000,0.009517,0.023137,0.000453,0.008125,0.01171,0.025709,0.007208,1.664625
0,skip_binding,10000,0.007929,0.00134,2.6e-05,0.007708,0.008792,0.013043,0.00725,0.05175
0,ticket_trigger_full,100,0.008913,0.001884,0.000369,0.0085,0.009486,0.015886,0.008292,0.025208
0,full,10000,0.008386,0.006469,0.000127,0.007916,0.009958,0.016335,0.00725,0.519791
1,ticket_trigger_skip,100,0.007709,0.00106,0.000208,0.007541,0.007833,0.014918,0.007375,0.015
1,skip_lookups,10000,0.008412,0.025991,0.000509,0.007542,0.008917,0.015501,0.007041,2.243334
1,full,10000,0.008421,0.009663,0.000189,0.008,0.008833,0.015584,0.00725,0.826875
1,ticket_trigger_full,100,0.034552,0.249091,0.048822,0.009166,0.012035,0.048146,0.008583,2.500459
1,skip_binding,10000,0.007924,0.00112,2.2e-05,0.00775,0.008458,0.012833,0.007375,0.052375
1,skip_hash,10000,0.007985,0.001915,3.8e-05,0.00775,0.008625,0.013167,0.00725,0.1555
2,ticket_trigger_full,100,0.009193,0.001876,0.000368,0.00875,0.010369,0.017911,0.008541,0.021458
2,skip_lookups,10000,0.007718,0.001149,2.3e-05,0.007459,0.008666,0.013167,0.007083,0.040791
2,full,10000,0.008416,0.008258,0.000162,0.007958,0.008875,0.01475,0.007375,0.550291
2,skip_hash,10000,0.008124,0.001703,3.3e-05,0.007875,0.009667,0.013625,0.00725,0.06725
2,skip_binding,10000,0.007976,0.004551,8.9e-05,0.007667,0.008542,0.01321,0.007291,0.395209
2,ticket_trigger_skip,100,0.007807,0.001048,0.000205,0.007542,0.008974,0.012985,0.007333,0.015583
3,skip_hash,10000,0.007983,0.001143,2.2e-05,0.007792,0.0085,0.013376,0.007333,0.03875
