mode,samples,avg_ms,std_ms,ci95_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
full,100000,0.008189,0.006543,4.1e-05,0.007792,0.00875,0.015417,0.007041,0.826875
skip_lookups,100000,0.008003,0.012433,7.7e-05,0.0075,0.0085,0.017584,0.007,2.599083
ticket_trigger_full,1000,0.01378,0.079216,0.00491,0.009791,0.023375,0.039338,0.008292,2.500459
ticket_trigger_skip,1000,0.00989,0.013544,0.000839,0.007583,0.021042,0.037423,0.007125,0.35975
skip_hash,100000,0.008392,0.02836,0.000176,0.00775,0.008709,0.021959,0.007041,7.9825
skip_binding,100000,0.008665,0.067472,0.000418,0.007667,0.008709,0.015875,0.007042,17.8705
