mode,samples,avg_ms,std_ms,ci95_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
full,100000,0.007548,0.00226,1.4e-05,0.00725,0.00825,0.01225,0.006916,0.183209
skip_ticket,100000,0.007725,0.002634,1.6e-05,0.007375,0.0085,0.014041,0.006917,0.211167
skip_binding,100000,0.007635,0.003165,2e-05,0.007292,0.008333,0.0125,0.006917,0.562667
skip_hash,100000,0.007584,0.001873,1.2e-05,0.007292,0.00825,0.012334,0.006958,0.154375
skip_lookups,100000,0.007522,0.001859,1.2e-05,0.00725,0.008167,0.01225,0.006875,0.150208
