rep,mode,samples,avg_ms,std_ms,ci95_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
0,skip_ticket,10000,0.007541,0.003383,6.6e-05,0.007208,0.008625,0.012208,0.006917,0.211167
0,skip_lookups,10000,0.007421,0.001348,2.6e-05,0.007167,0.008208,0.012209,0.006875,0.082584
0,skip_hash,10000,0.007669,0.00244,4.8e-05,0.007334,0.008625,0.012961,0.006959,0.154375
0,skip_binding,10000,0.007317,0.001291,2.5e-05,0.007125,0.007541,0.011791,0.006958,0.049208
0,full,10000,0.007311,0.001298,2.5e-05,0.007125,0.007458,0.011833,0.006916,0.048708
1,full,10000,0.007463,0.001311,2.6e-05,0.00725,0.008083,0.012167,0.006959,0.042083
1,skip_ticket,10000,0.007523,0.00164,3.2e-05,0.007291,0.008166,0.012542,0.007,0.081833
1,skip_binding,10000,0.007654,0.004235,8.3e-05,0.007333,0.008208,0.012375,0.007,0.3145
1,skip_hash,10000,0.007398,0.000919,1.8e-05,0.007209,0.007958,0.010666,0.006958,0.033666
1,skip_lookups,10000,0.007601,0.001391,2.7e-05,0.007375,0.008209,0.012666,0.007,0.051917
2,full,10000,0.00755,0.00189,3.7e-05,0.007333,0.008083,0.012542,0.006958,0.097
2,skip_binding,10000,0.007381,0.001263,2.5e-05,0.007209,0.0075,0.012167,0.007,0.046625
2,skip_lookups,10000,0.007555,0.002923,5.7e-05,0.007166,0.008083,0.016458,0.006917,0.124541
2,skip_hash,10000,0.007701,0.002955,5.8e-05,0.007333,0.008292,0.015836,0.007,0.127792
2,skip_ticket,10000,0.008307,0.00391,7.7e-05,0.00775,0.00925,0.021375,0.007208,0.14125
3,skip_binding,10000,0.008527,0.007093,0.000139,0.007917,0.008833,0.021792,0.007292,0.562667
3,skip_ticket,10000,0.007986,0.002798,5.5e-05,0.007541,0.009667,0.015,0.007084,0.130125
3,full,10000,0.007799,0.0025,4.9e-05,0.007458,0.009542,0.012751,0.007042,0.131084
3,skip_hash,10000,0.007635,0.001652,3.2e-05,0.007375,0.008375,0.012334,0.007083,0.078792
3,skip_lookups,10000,0.007586,0.001854,3.6e-05,0.007292,0.008208,0.012333,0.007042,0.101916
4,skip_lookups,10000,0.007747,0.001758,3.4e-05,0.007583,0.008292,0.012167,0.007083,0.089917
4,skip_ticket,10000,0.007946,0.002775,5.4e-05,0.007708,0.008416,0.015125,0.007,0.148667
4,full,10000,0.00765,0.003306,6.5e-05,0.007209,0.008708,0.013126,0.007,0.183209
4,skip_binding,10000,0.007692,0.002326,4.6e-05,0.007334,0.009542,0.012667,0.006917,0.112708
4,skip_hash,10000,0.00765,0.00196,3.8e-05,0.007375,0.00875,0.012417,0.006959,0.086167
5,skip_hash,10000,0.007966,0.002449,4.8e-05,0.00775,0.008625,0.014751,0.007041,0.100084
5,skip_binding,10000,0.007978,0.003408,6.7e-05,0.007542,0.009586,0.015125,0.007083,0.149875
5,full,10000,0.007769,0.002138,4.2e-05,0.007417,0.009541,0.012875,0.007042,0.102542
5,skip_ticket,10000,0.007696,0.002322,4.6e-05,0.007334,0.008625,0.012875,0.007042,0.105375
5,skip_lookups,10000,0.00766,0.001697,3.3e-05,0.007334,0.009459,0.012459,0.007,0.068292
6,skip_lookups,10000,0.007442,0.002088,4.1e-05,0.007167,0.008333,0.011917,0.006917,0.150208
6,full,10000,0.007418,0.002816,5.5e-05,0.007208,0.007917,0.010458,0.006959,0.157584
6,skip_hash,10000,0.007535,0.001312,2.6e-05,0.007333,0.008042,0.012375,0.007083,0.065292
6,skip_ticket,10000,0.007619,0.001648,3.2e-05,0.007292,0.008916,0.01325,0.007042,0.081208
6,skip_binding,10000,0.007443,0.001977,3.9e-05,0.007209,0.008,0.011958,0.007,0.130125
7,skip_lookups,10000,0.007264,0.001192,2.3e-05,0.007125,0.007375,0.011667,0.006916,0.05
7,skip_hash,10000,0.007391,0.000795,1.6e-05,0.00725,0.007792,0.010583,0.006958,0.0465
7,skip_ticket,10000,0.007665,0.003257,6.4e-05,0.00725,0.008583,0.014508,0.006958,0.149625
7,full,10000,0.007388,0.001127,2.2e-05,0.007208,0.007917,0.010667,0.007,0.055875
7,skip_binding,10000,0.007618,0.002175,4.3e-05,0.007333,0.008416,0.012292,0.007,0.154042
8,skip_lookups,10000,0.007407,0.001155,2.3e-05,0.007209,0.007833,0.011958,0.006958,0.045416
8,skip_binding,10000,0.00737,0.000909,1.8e-05,0.00725,0.007542,0.010922,0.007,0.047625
8,skip_ticket,10000,0.007512,0.001125,2.2e-05,0.007334,0.008,0.011917,0.007083,0.059709
8,skip_hash,10000,0.007453,0.001545,3e-05,0.00725,0.007916,0.011542,0.007,0.090666
8,full,10000,0.007639,0.003336,6.5e-05,0.007292,0.00825,0.012292,0.007041,0.130083
9,full,10000,0.007494,0.001342,2.6e-05,0.00725,0.008042,0.012125,0.007,0.041666
9,skip_hash,10000,0.007442,0.001404,2.8e-05,0.00725,0.007542,0.012334,0.007041,0.050666
9,skip_ticket,10000,0.00746,0.001951,3.8e-05,0.00725,0.008,0.012208,0.007041,0.104959
9,skip_binding,10000,0.007368,0.000952,1.9e-05,0.00725,0.007542,0.011916,0.007,0.031625
9,skip_lookups,10000,0.007542,0.002361,4.6e-05,0.007291,0.008084,0.012125,0.007041,0.099833
