N,reps,register_total_ms_avg,register_per_tool_ms_avg,register_throughput_tools_per_sec,lookup_avg_ms,lookup_std_ms,lookup_ci95_ms,lookup_p50_ms,lookup_p95_ms,lookup_p99_ms,userspace_dict_avg_ms,userspace_dict_p95_ms,sysfs_ls_ms_avg,module_coresize,meminfo_free_delta_kb
8,5,0.064508,0.008063525,125827.422,0.007362,0.001765,3.5e-05,0.007041,0.009416,0.012834,6.4e-05,8.4e-05,0.644883,36864,8044
64,5,0.439192,0.006862372,147470.534,0.0074,0.001879,3.7e-05,0.007084,0.008583,0.012417,6.2e-05,8.4e-05,0.515166,36864,3780
512,5,2.903849,0.005671581,176922.327,0.00714,0.002044,4e-05,0.006958,0.007458,0.01,5.6e-05,8.4e-05,0.647742,36864,-2148
4096,5,24.887205,0.006075978,165419.144,0.007393,0.002033,4e-05,0.007166,0.008209,0.012167,6.9e-05,8.4e-05,3.410724,36864,10700
16384,5,104.567969,0.006382322,161384.566,0.008072,0.005193,0.000102,0.007458,0.011,0.015667,0.00012,0.00025,13.24494,36864,32164
