stage,full_avg_ms,skip_avg_ms,delta_ms,delta_ratio,delta_bootstrap_mean_ms,delta_ci_lo,delta_ci_hi
ticket,0.006941,0.007372,-0.000431,-0.062091,-0.000431,-0.000439,-0.000423
binding,0.006941,0.007329,-0.000388,-0.055912,-0.000388,-0.000398,-0.000379
hash,0.006941,0.007385,-0.000445,-0.064088,-0.000445,-0.000454,-0.000435
lookups,0.006941,0.007333,-0.000392,-0.056511,-0.000392,-0.000406,-0.000381
