rep,mode,samples,avg_ms,std_ms,ci95_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
0,skip_ticket,10000,0.007525,0.001083,2.1e-05,0.00725,0.008625,0.011667,0.006958,0.066958
0,skip_lookups,10000,0.007374,0.002653,5.2e-05,0.007125,0.007959,0.011958,0.006916,0.218458
0,skip_hash,10000,0.007302,0.000909,1.8e-05,0.007125,0.007667,0.010878,0.006916,0.05075
0,skip_binding,10000,0.007284,0.000677,1.3e-05,0.007167,0.007542,0.010626,0.006958,0.021667
0,full,10000,0.007015,0.000993,1.9e-05,0.006834,0.007542,0.010424,0.006583,0.072125
1,full,10000,0.006994,0.000739,1.4e-05,0.006833,0.007542,0.010042,0.006625,0.0225
1,skip_ticket,10000,0.007594,0.001214,2.4e-05,0.007334,0.008334,0.012166,0.007083,0.055042
1,skip_binding,10000,0.007385,0.000667,1.3e-05,0.00725,0.007708,0.0105,0.007041,0.02025
1,skip_hash,10000,0.007343,0.000645,1.3e-05,0.00725,0.0075,0.010375,0.007041,0.019875
1,skip_lookups,10000,0.007336,0.001688,3.3e-05,0.007208,0.007667,0.0105,0.007,0.162292
2,full,10000,0.006905,0.000652,1.3e-05,0.006792,0.007083,0.00975,0.006583,0.021542
2,skip_binding,10000,0.007389,0.001396,2.7e-05,0.00725,0.007709,0.011958,0.007,0.104875
2,skip_lookups,10000,0.007346,0.001758,3.4e-05,0.007125,0.008083,0.011583,0.006875,0.14725
2,skip_hash,10000,0.007416,0.000856,1.7e-05,0.007209,0.008125,0.012042,0.006917,0.025791
2,skip_ticket,10000,0.007462,0.001077,2.1e-05,0.00725,0.008166,0.010876,0.007,0.056833
3,skip_binding,10000,0.00745,0.000685,1.3e-05,0.007333,0.007625,0.010667,0.007125,0.021042
3,skip_ticket,10000,0.007438,0.000757,1.5e-05,0.007292,0.007625,0.011292,0.007084,0.027416
3,full,10000,0.007071,0.000757,1.5e-05,0.006916,0.007583,0.010923,0.006708,0.021791
3,skip_hash,10000,0.00746,0.000733,1.4e-05,0.007292,0.007958,0.010666,0.007083,0.02025
3,skip_lookups,10000,0.007553,0.003191,6.3e-05,0.00725,0.008291,0.012167,0.006958,0.279875
4,skip_lookups,10000,0.007295,0.000703,1.4e-05,0.007167,0.007542,0.011336,0.006958,0.022625
4,skip_ticket,10000,0.007267,0.00064,1.3e-05,0.007167,0.007417,0.01025,0.006959,0.020833
4,full,10000,0.006857,0.000686,1.3e-05,0.006709,0.007209,0.010208,0.0065,0.016958
4,skip_binding,10000,0.007249,0.000629,1.2e-05,0.007166,0.007416,0.010334,0.006958,0.021291
4,skip_hash,10000,0.00734,0.001852,3.6e-05,0.007166,0.007834,0.012041,0.006958,0.135334
5,skip_hash,10000,0.007383,0.00074,1.5e-05,0.007209,0.007875,0.011544,0.007,0.022958
5,skip_binding,10000,0.007397,0.000779,1.5e-05,0.007209,0.007958,0.011047,0.006958,0.0205
5,full,10000,0.006903,0.001158,2.3e-05,0.00675,0.007333,0.009875,0.006541,0.0835
5,skip_ticket,10000,0.007225,0.000609,1.2e-05,0.007125,0.007375,0.010167,0.006958,0.020917
5,skip_lookups,10000,0.00722,0.000647,1.3e-05,0.007125,0.007458,0.010167,0.006875,0.028375
6,skip_lookups,10000,0.007302,0.001076,2.1e-05,0.007125,0.00775,0.011625,0.006916,0.07625
6,full,10000,0.006862,0.000661,1.3e-05,0.00675,0.007208,0.009792,0.006541,0.021416
6,skip_hash,10000,0.007546,0.001622,3.2e-05,0.007292,0.008375,0.011917,0.006958,0.083708
6,skip_ticket,10000,0.007349,0.000655,1.3e-05,0.007209,0.007667,0.010458,0.007,0.021375
6,skip_binding,10000,0.007294,0.000625,1.2e-05,0.007208,0.007458,0.010208,0.006959,0.026084
7,skip_lookups,10000,0.007335,0.000724,1.4e-05,0.007208,0.007625,0.01092,0.007,0.023583
7,skip_hash,10000,0.007407,0.000741,1.5e-05,0.00725,0.008083,0.010584,0.007041,0.019417
7,skip_ticket,10000,0.007401,0.001529,3e-05,0.007209,0.007919,0.011042,0.007041,0.123125
7,full,10000,0.006882,0.000756,1.5e-05,0.006709,0.007334,0.009917,0.0065,0.024167
7,skip_binding,10000,0.007356,0.002768,5.4e-05,0.007167,0.007875,0.010916,0.006958,0.273792
8,skip_lookups,10000,0.007309,0.001966,3.9e-05,0.007125,0.007833,0.010419,0.006875,0.127458
8,skip_binding,10000,0.007216,0.000578,1.1e-05,0.007125,0.007375,0.01,0.006916,0.020625
8,skip_ticket,10000,0.007224,0.000663,1.3e-05,0.007125,0.007417,0.010041,0.006916,0.0355
8,skip_hash,10000,0.007409,0.002031,4e-05,0.007209,0.007958,0.010667,0.006916,0.167166
8,full,10000,0.006827,0.00065,1.3e-05,0.006708,0.007208,0.009708,0.0065,0.022458
9,full,10000,0.00709,0.002006,3.9e-05,0.006833,0.007709,0.011791,0.0065,0.125541
9,skip_hash,10000,0.007247,0.000622,1.2e-05,0.007125,0.0075,0.01025,0.006916,0.021083
9,skip_ticket,10000,0.007231,0.000706,1.4e-05,0.007125,0.007375,0.010292,0.006875,0.033083
9,skip_binding,10000,0.007266,0.000676,1.3e-05,0.007125,0.007583,0.010333,0.006875,0.023625
9,skip_lookups,10000,0.007258,0.000728,1.4e-05,0.007167,0.007417,0.010208,0.006958,0.047417
