mode,samples,avg_ms,std_ms,ci95_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
full,100000,0.006941,0.000994,6e-06,0.006792,0.007417,0.010167,0.0065,0.125541
skip_ticket,100000,0.007372,0.00095,6e-06,0.007208,0.007958,0.010833,0.006875,0.123125
skip_binding,100000,0.007329,0.00115,7e-06,0.007208,0.007625,0.010542,0.006875,0.273792
skip_hash,100000,0.007385,0.001193,7e-06,0.007209,0.007958,0.010959,0.006916,0.167166
skip_lookups,100000,0.007333,0.001738,1.1e-05,0.007167,0.007834,0.01125,0.006875,0.279875
