risky_pct,requests,success_rate,defer_rate,deny_rate,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
0,100,1.0,0.0,0.0,2.322,1.995,4.689,7.01
25,100,0.75,0.25,0.0,1.849,1.524,3.678,5.041
50,100,0.5,0.5,0.0,1.301,1.247,2.234,2.852
75,100,0.25,0.75,0.0,1.397,0.874,3.907,4.569
100,100,0.0,1.0,0.0,1.135,0.831,2.798,3.508
