repetition,system,agents,concurrency,measurement_seconds,requests,errors,error_rate,throughput_rps,throughput_std_rps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
1,seccomp,50,10,4.0,1941,0,0.0,485.25,39.042,20.627,19.112,33.861,64.139
1,seccomp,50,50,4.0,1947,0,0.0,486.75,11.117,102.029,97.889,189.575,238.772
1,seccomp,50,100,4.0,1920,0,0.0,480.0,22.876,204.666,200.961,387.271,480.125
2,seccomp,1,1,4.0,1614,0,0.0,403.5,25.515,2.466,1.947,4.758,7.057
2,seccomp,1,10,4.0,1973,0,0.0,493.25,17.037,20.176,18.793,34.434,57.875
2,seccomp,1,50,4.0,1993,0,0.0,498.25,45.419,99.513,96.989,190.645,254.578
2,seccomp,1,100,4.0,2028,0,0.0,507.0,25.311,195.125,192.324,385.893,427.812
2,seccomp,5,1,4.0,1698,0,0.0,424.5,47.092,2.343,1.849,4.573,7.24
2,seccomp,5,10,4.0,1923,0,0.0,480.75,18.246,20.727,19.319,35.072,58.319
2,seccomp,5,50,4.0,1925,0,0.0,481.25,40.011,103.903,98.892,193.888,257.399
2,seccomp,5,100,4.0,1911,0,0.0,477.75,39.626,210.001,209.461,411.816,474.406
2,seccomp,10,1,4.0,1693,0,0.0,423.25,16.82,2.352,1.872,4.48,6.592
2,seccomp,10,10,4.0,1889,0,0.0,472.25,9.979,21.145,19.738,35.586,63.903
2,seccomp,10,50,4.0,1926,0,0.0,481.5,20.075,103.157,101.1,201.636,265.109
2,seccomp,10,100,4.0,1963,0,0.0,490.75,26.5,200.906,194.168,379.224,495.271
2,seccomp,20,1,4.0,1718,0,0.0,429.5,27.863,2.335,1.887,4.562,6.376
2,seccomp,20,10,4.0,1879,0,0.0,469.75,13.351,21.275,19.948,37.131,58.718
2,seccomp,20,50,4.0,1956,0,0.0,489.0,17.833,101.785,97.184,193.086,264.486
2,seccomp,20,100,4.0,1883,0,0.0,470.75,22.955,211.432,206.794,414.76,493.712
2,seccomp,50,1,4.0,1665,0,0.0,416.25,24.13,2.391,1.949,4.619,6.635
2,seccomp,50,10,4.0,1874,0,0.0,468.5,33.01,21.317,19.437,36.085,71.265
2,seccomp,50,50,4.0,1928,0,0.0,482.0,16.391,103.304,97.222,205.279,245.045
2,seccomp,50,100,4.0,1719,0,0.0,429.75,32.643,230.982,224.404,450.326,515.197
1,kernel,1,1,4.0,2677,2677,1.0,669.25,20.726,1.486,1.187,3.151,4.924
1,kernel,1,10,4.0,2399,2399,1.0,599.75,16.581,16.658,15.396,27.794,56.187
1,kernel,1,50,4.0,2633,2633,1.0,658.25,23.229,75.6,71.778,136.058,187.064
1,kernel,1,100,4.0,2619,2619,1.0,654.75,42.766,152.111,147.079,290.68,348.901
1,kernel,5,1,4.0,2702,2702,1.0,675.5,29.535,1.471,1.111,3.199,5.317
1,kernel,5,10,4.0,2633,2633,1.0,658.25,23.128,15.167,14.005,24.156,52.726
1,kernel,5,50,4.0,2644,2644,1.0,661.0,24.913,76.019,72.885,134.098,176.854
1,kernel,5,100,4.0,2670,2670,1.0,667.5,31.139,147.825,143.186,284.501,337.195
1,kernel,10,1,4.0,2832,2832,1.0,708.0,32.01,1.397,1.069,2.982,4.89
1,kernel,10,10,4.0,2650,2650,1.0,662.5,30.838,15.031,13.724,24.602,49.742
1,kernel,10,50,4.0,2676,2676,1.0,669.0,31.273,74.36,70.853,133.221,181.196
1,kernel,10,100,4.0,2753,2753,1.0,688.25,25.264,144.51,138.615,271.779,331.87
1,kernel,20,1,4.0,2851,2851,1.0,712.75,37.509,1.394,1.082,3.024,4.665
1,kernel,20,10,4.0,2611,2611,1.0,652.75,21.823,15.307,14.261,25.45,56.955
1,kernel,20,50,4.0,2699,2685,0.994813,674.75,23.472,73.725,71.484,130.381,173.333
1,kernel,20,100,4.0,2569,2569,1.0,642.25,18.857,154.976,151.809,292.833,324.242
1,kernel,50,1,4.0,2784,2784,1.0,696.0,21.494,1.427,1.114,3.048,4.993
1,kernel,50,10,4.0,2690,2690,1.0,672.5,29.816,14.849,13.708,25.161,45.884
1,kernel,50,50,4.0,2494,1450,0.581395,623.5,78.861,79.68,74.798,144.229,201.876
1,kernel,50,100,4.0,2603,2603,1.0,650.75,33.45,152.903,146.912,283.604,373.712
2,kernel,1,1,4.0,2977,2977,1.0,744.25,20.759,1.336,1.048,2.811,4.333
2,kernel,1,10,4.0,2587,2587,1.0,646.75,29.056,15.589,14.025,27.364,56.808
2,kernel,1,50,4.0,2699,2699,1.0,674.75,43.277,73.945,68.142,127.54,188.937
2,kernel,1,100,4.0,2340,2340,1.0,585.0,50.14,170.353,156.7,328.204,439.232
2,kernel,5,1,4.0,2211,2211,1.0,552.75,69.366,1.791,1.241,4.082,7.59
2,kernel,5,10,4.0,2298,2298,1.0,574.5,47.725,17.381,15.544,32.637,53.272
2,kernel,5,50,4.0,2409,2409,1.0,602.25,19.99,82.739,77.133,149.199,202.431
2,kernel,5,100,4.0,2589,2589,1.0,647.25,44.033,153.961,149.051,300.706,341.466
2,kernel,10,1,4.0,2704,2704,1.0,676.0,47.476,1.453,1.164,2.94,4.66
2,kernel,10,10,4.0,2477,2477,1.0,619.25,18.733,16.145,15.048,26.515,46.073
2,kernel,10,50,4.0,2508,2508,1.0,627.0,48.38,79.626,73.18,142.303,199.441
2,kernel,10,100,4.0,2391,2391,1.0,597.75,16.46,166.359,158.843,319.389,406.224
2,kernel,20,1,4.0,2589,2589,1.0,647.25,20.156,1.535,1.211,3.197,4.919
2,kernel,20,10,4.0,2457,2457,1.0,614.25,45.162,16.263,14.73,28.451,55.401
2,kernel,20,50,4.0,2362,2350,0.99492,590.5,27.958,84.56,79.237,161.405,203.649
2,kernel,20,100,4.0,2522,2522,1.0,630.5,29.4,158.359,150.995,293.916,352.024
2,kernel,50,1,4.0,2639,2639,1.0,659.75,38.526,1.505,1.198,3.162,4.638
2,kernel,50,10,4.0,2382,2382,1.0,595.5,37.917,16.77,15.445,27.459,48.036
2,kernel,50,50,4.0,2125,1007,0.473882,531.25,22.021,93.64,90.73,172.264,210.465
2,kernel,50,100,4.0,2412,2412,1.0,603.0,35.842,164.698,156.594,311.656,408.774
