system,payload_label,payload_bytes,payload_display,runs,requests_per_run,errors_total,latency_avg_ms,latency_avg_std_ms,latency_avg_ci_lo_ms,latency_avg_ci_hi_ms,latency_p50_ms,latency_p50_std_ms,latency_p50_ci_lo_ms,latency_p50_ci_hi_ms,latency_p95_ms,latency_p95_std_ms,latency_p95_ci_lo_ms,latency_p95_ci_hi_ms,latency_p99_ms,latency_p99_std_ms,latency_p99_ci_lo_ms,latency_p99_ci_hi_ms,session_lookup_ms_mean,arbitration_ms_mean,tool_exec_ms_mean,total_ms_mean,tool_exec_share_pct_mean,latency_avg_pvalue_vs_userspace,latency_p95_pvalue_vs_userspace
kernel,small,100,100 B,2,500,0,2.162,0.086,2.042,2.282,1.714,0.054,1.639,1.79,4.465,0.235,4.14,4.79,6.531,0.85,5.353,7.709,0.013,0.091,0.768,1.688,43.544,0.005703,0.207602
kernel,medium,10240,"10 KB (10,240 B)",2,500,0,2.208,0.166,1.977,2.438,1.746,0.029,1.706,1.787,4.322,0.462,3.682,4.961,8.505,2.306,5.309,11.7,0.01,0.067,0.793,1.679,45.061,0.400616,0.315361
kernel,large,1048576,"1 MB (1,048,576 B)",2,500,0,14.598,0.478,13.936,15.26,13.46,0.315,13.023,13.897,19.658,1.426,17.682,21.634,47.16,2.243,44.051,50.269,0.024,0.113,7.384,8.441,87.381,0.000393,0.046903
seccomp,small,100,100 B,2,500,0,2.52,0.386,1.985,3.055,1.978,0.125,1.804,2.151,5.237,1.224,3.54,6.933,9.212,4.192,3.401,15.022,0.013,0.011,0.858,1.829,44.565,0.818923,0.959126
seccomp,medium,10240,"10 KB (10,240 B)",2,500,0,2.522,0.025,2.487,2.557,2.01,0.053,1.936,2.083,4.634,0.023,4.603,4.665,6.893,0.582,6.086,7.699,0.017,0.01,0.857,1.795,46.392,0.34877,0.681569
seccomp,large,1048576,"1 MB (1,048,576 B)",2,500,0,18.971,0.445,18.355,19.588,17.745,0.552,16.981,18.509,23.986,0.307,23.561,24.411,57.602,1.25,55.869,59.335,0.018,0.018,7.293,11.787,62.058,0.014309,0.91982
userspace,small,100,100 B,2,500,0,2.591,0.202,2.311,2.87,1.921,0.057,1.842,2.001,5.292,0.897,4.048,6.535,8.806,2.305,5.611,12.001,0.013,0.011,0.986,1.97,45.195,,
userspace,medium,10240,"10 KB (10,240 B)",2,500,0,2.373,0.223,2.063,2.683,1.905,0.061,1.821,1.989,4.742,0.37,4.229,5.254,7.53,1.672,5.213,9.847,0.012,0.01,0.867,1.823,46.441,,
userspace,large,1048576,"1 MB (1,048,576 B)",2,500,0,17.2,0.921,15.923,18.476,15.751,0.608,14.908,16.594,23.801,2.581,20.224,27.378,56.038,5.56,48.333,63.744,0.02,0.034,8.334,9.497,88.072,,
