repetition,system,agents,concurrency,measurement_seconds,requests,errors,error_rate,throughput_rps,throughput_std_rps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
1,seccomp,50,10,4.0,1965,0,0.0,491.25,21.297,20.34,19.09,34.25,56.793
1,seccomp,50,50,4.0,2006,0,0.0,501.5,8.737,99.255,96.012,185.348,236.223
1,seccomp,50,100,4.0,1939,0,0.0,484.75,18.733,205.179,201.299,399.605,514.151
2,seccomp,1,1,4.0,1716,0,0.0,429.0,19.026,2.318,1.844,4.623,7.34
2,seccomp,1,10,4.0,1987,0,0.0,496.75,18.786,20.086,18.587,33.514,61.88
2,seccomp,1,50,4.0,1948,0,0.0,487.0,17.833,102.155,95.373,200.25,248.836
2,seccomp,1,100,4.0,1940,0,0.0,485.0,10.296,205.616,205.314,398.973,464.918
2,seccomp,5,1,4.0,1757,0,0.0,439.25,9.323,2.265,1.811,4.489,6.525
2,seccomp,5,10,4.0,1945,0,0.0,486.25,23.585,20.543,18.692,34.927,66.572
2,seccomp,5,50,4.0,2012,0,0.0,503.0,28.787,98.729,93.059,183.346,266.437
2,seccomp,5,100,4.0,1987,0,0.0,496.75,8.016,198.489,192.713,393.815,461.801
2,seccomp,10,1,4.0,1730,0,0.0,432.5,23.7,2.291,1.828,4.502,7.169
2,seccomp,10,10,4.0,2009,0,0.0,502.25,12.659,19.856,18.663,33.641,56.3
2,seccomp,10,50,4.0,1963,0,0.0,490.75,21.975,101.702,97.499,190.338,250.637
2,seccomp,10,100,4.0,1944,0,0.0,486.0,31.273,204.935,204.137,407.664,462.124
2,seccomp,20,1,4.0,1796,0,0.0,449.0,22.045,2.213,1.792,4.447,6.025
2,seccomp,20,10,4.0,1964,0,0.0,491.0,10.614,20.302,18.771,32.772,63.478
2,seccomp,20,50,4.0,1963,0,0.0,490.75,21.808,101.443,99.846,198.235,239.973
2,seccomp,20,100,4.0,1974,0,0.0,493.5,9.469,201.758,203.03,392.686,448.575
2,seccomp,50,1,4.0,1780,0,0.0,445.0,18.403,2.236,1.829,4.357,6.058
2,seccomp,50,10,4.0,1968,0,0.0,492.0,10.392,20.305,18.838,33.866,63.197
2,seccomp,50,50,4.0,1939,0,0.0,484.75,18.518,102.569,99.1,192.146,252.53
2,seccomp,50,100,4.0,1934,0,0.0,483.5,7.047,204.932,204.639,405.987,440.94
1,kernel,1,1,4.0,1984,0,0.0,496.0,19.613,2.006,1.607,4.11,6.341
1,kernel,1,10,4.0,1952,0,0.0,488.0,46.797,20.458,18.401,35.642,66.188
1,kernel,1,50,4.0,2210,0,0.0,552.5,12.152,90.157,85.07,169.926,217.823
