system,attack_type,scenario_group,attack_case,mode,attack_profile,status,decision,error,latency_ms,unauthorized_success,expected_reject,invariant_violated
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,10.818,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,3.629,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,4.448,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.802,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),1.604,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,4.226,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.538,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,1.998,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,3.264,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),5.276,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,5.051,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.918,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,3.473,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.765,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),1.686,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,3.121,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.593,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,4.886,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.696,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),2.786,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,3.406,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.881,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,1.903,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.382,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),4.81,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,2.462,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.561,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,2.461,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.209,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),1.421,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,2.035,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.803,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,3.611,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.587,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),1.689,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,3.676,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.735,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,1.764,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.381,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),1.749,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,2.653,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.973,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,1.587,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.78,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),1.684,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,2.211,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.004,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,2.144,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.417,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),1.218,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,2.333,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.747,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,4.94,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.403,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),1.299,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,2.656,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.646,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,1.846,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.643,1,1,1
