repetition,system,payload_label,payload_bytes,payload_display,requests,errors,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,session_lookup_ms,arbitration_ms,tool_exec_ms,total_ms,tool_exec_share_pct
1,userspace,small,100,100 B,2000,0,0.778,0.748,0.89,1.44,0.004,0.004,0.251,0.651,38.361
1,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.795,0.786,0.856,0.939,0.004,0.004,0.26,0.65,39.968
1,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.837,7.442,9.213,13.971,0.006,0.006,3.912,4.362,89.691
1,seccomp,small,100,100 B,2000,0,0.789,0.765,0.968,1.078,0.004,0.005,0.245,0.645,37.9
1,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.838,0.823,0.914,1.081,0.004,0.005,0.263,0.672,39.041
1,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,10.141,9.665,12.129,16.119,0.007,0.008,3.984,6.539,60.767
1,kernel,small,100,100 B,2000,0,0.79,0.774,0.873,1.054,0.004,0.026,0.244,0.658,37.109
1,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.831,0.817,0.912,1.065,0.004,0.026,0.263,0.675,38.914
1,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,6.896,6.754,7.77,8.696,0.005,0.033,3.697,4.136,89.39
2,kernel,small,100,100 B,2000,0,0.783,0.769,0.855,1.082,0.004,0.026,0.244,0.652,37.306
2,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.822,0.811,0.887,1.008,0.004,0.026,0.262,0.667,39.164
2,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,6.85,6.725,7.683,8.458,0.005,0.033,3.665,4.1,89.397
2,seccomp,small,100,100 B,2000,0,0.773,0.76,0.854,0.998,0.004,0.005,0.242,0.632,38.206
2,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.835,0.825,0.897,0.983,0.004,0.005,0.263,0.668,39.346
2,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,9.083,8.948,9.994,10.886,0.005,0.006,3.631,5.985,60.638
2,userspace,small,100,100 B,2000,0,0.757,0.739,0.833,1.175,0.004,0.004,0.244,0.635,38.289
2,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.804,0.783,0.973,1.04,0.004,0.004,0.26,0.656,39.651
2,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,6.938,6.784,7.811,8.729,0.005,0.005,3.724,4.131,90.16
3,kernel,small,100,100 B,2000,0,0.791,0.773,0.885,1.08,0.004,0.026,0.246,0.659,37.201
3,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.825,0.816,0.884,0.962,0.004,0.026,0.26,0.671,38.764
3,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,6.926,6.784,7.783,8.763,0.005,0.033,3.695,4.135,89.369
3,userspace,small,100,100 B,2000,0,0.748,0.735,0.814,0.981,0.004,0.004,0.239,0.627,38.09
3,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.803,0.783,0.966,1.031,0.004,0.004,0.265,0.655,40.348
3,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.111,6.987,7.938,8.609,0.005,0.005,3.648,4.05,90.058
3,seccomp,small,100,100 B,2000,0,0.781,0.766,0.85,1.044,0.004,0.005,0.243,0.638,37.989
3,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.836,0.826,0.906,0.978,0.004,0.004,0.262,0.669,39.144
3,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,9.126,8.978,10.033,10.833,0.005,0.006,3.648,6.021,60.545
4,seccomp,small,100,100 B,2000,0,0.768,0.757,0.83,0.914,0.004,0.005,0.234,0.628,37.265
4,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.848,0.829,0.992,1.093,0.004,0.005,0.264,0.68,38.818
4,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,9.178,8.99,10.12,11.387,0.005,0.006,3.68,6.061,60.653
4,kernel,small,100,100 B,2000,0,0.786,0.769,0.854,1.125,0.004,0.026,0.245,0.655,37.342
4,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.828,0.816,0.906,1.027,0.004,0.026,0.265,0.672,39.382
4,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,6.856,6.702,7.722,8.589,0.005,0.032,3.659,4.087,89.505
4,userspace,small,100,100 B,2000,0,0.774,0.742,0.951,1.089,0.004,0.004,0.247,0.649,37.999
4,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.798,0.785,0.875,1.023,0.004,0.004,0.264,0.652,40.469
4,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.115,6.976,8.026,8.876,0.005,0.005,3.658,4.062,90.053
5,seccomp,small,100,100 B,2000,0,0.778,0.765,0.854,1.013,0.004,0.005,0.241,0.636,37.85
5,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.839,0.828,0.906,1.025,0.004,0.005,0.259,0.67,38.624
5,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,9.123,8.962,10.155,11.138,0.005,0.006,3.656,6.007,60.819
5,userspace,small,100,100 B,2000,0,0.762,0.742,0.925,1.037,0.004,0.004,0.246,0.639,38.569
5,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.803,0.782,0.971,1.043,0.004,0.004,0.263,0.654,40.214
5,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.127,6.992,7.993,8.852,0.005,0.005,3.66,4.064,90.044
5,kernel,small,100,100 B,2000,0,0.784,0.767,0.861,1.027,0.004,0.026,0.238,0.652,36.427
5,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.834,0.818,0.911,1.086,0.004,0.026,0.266,0.677,39.008
5,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.012,6.88,7.915,8.753,0.005,0.033,3.755,4.192,89.557
