repetition,system,agents,concurrency,measurement_seconds,requests,errors,error_rate,throughput_rps,throughput_std_rps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
1,kernel,50,1,30.0,31423,0,0.0,1047.433,15.238,0.951,0.957,1.021,1.087
1,kernel,50,10,30.0,30045,0,0.0,1001.5,4.183,9.98,9.912,11.641,12.684
1,kernel,50,50,30.0,32576,0,0.0,1085.867,32.168,46.037,45.787,49.837,63.692
1,kernel,50,100,30.0,32604,0,0.0,1086.8,8.418,91.993,92.036,96.367,99.545
2,kernel,1,1,30.0,32188,0,0.0,1072.933,5.311,0.928,0.934,1.002,1.07
2,kernel,1,10,30.0,30436,0,0.0,1014.533,4.524,9.853,9.787,11.565,12.618
2,kernel,1,50,30.0,33096,0,0.0,1103.2,16.296,45.309,45.166,48.426,62.152
2,kernel,1,100,30.0,33361,0,0.0,1112.033,11.784,89.909,89.849,94.954,168.958
2,kernel,5,1,30.0,31989,0,0.0,1066.3,6.582,0.934,0.941,1.008,1.075
2,kernel,5,10,30.0,30463,0,0.0,1015.433,4.768,9.843,9.782,11.502,12.515
2,kernel,5,50,30.0,33006,0,0.0,1100.2,14.836,45.439,45.347,48.663,63.413
2,kernel,5,100,30.0,33278,0,0.0,1109.267,10.693,90.123,90.017,95.079,169.981
2,kernel,10,1,30.0,31971,0,0.0,1065.7,4.001,0.934,0.941,1.005,1.055
2,kernel,10,10,30.0,30331,0,0.0,1011.033,5.537,9.886,9.825,11.54,12.488
2,kernel,10,50,30.0,32802,0,0.0,1093.4,13.898,45.715,45.622,48.836,59.004
2,kernel,10,100,30.0,33072,0,0.0,1102.4,8.981,90.685,90.629,95.975,101.018
2,kernel,20,1,30.0,31778,0,0.0,1059.267,10.992,0.94,0.948,1.011,1.062
2,kernel,20,10,30.0,29917,0,0.0,997.233,24.89,10.023,9.915,11.768,13.396
2,kernel,20,50,30.0,32658,0,0.0,1088.6,20.564,45.922,45.78,49.025,62.204
2,kernel,20,100,30.0,32949,0,0.0,1098.3,8.949,91.021,91.128,95.9,103.057
2,kernel,50,1,30.0,31512,0,0.0,1050.4,4.43,0.948,0.956,1.021,1.082
2,kernel,50,10,30.0,30129,0,0.0,1004.3,4.822,9.952,9.886,11.579,12.585
