system,agents,concurrency,runs,measurement_seconds,requests_mean,errors_mean,throughput_rps,throughput_rps_std,throughput_rps_ci_lo,throughput_rps_ci_hi,error_rate,error_rate_std,error_rate_ci_lo,error_rate_ci_hi,latency_avg_ms,latency_avg_ms_std,latency_avg_ms_ci_lo,latency_avg_ms_ci_hi,latency_p50_ms,latency_p50_ms_std,latency_p50_ms_ci_lo,latency_p50_ms_ci_hi,latency_p95_ms,latency_p95_ms_std,latency_p95_ms_ci_lo,latency_p95_ms_ci_hi,latency_p99_ms,latency_p99_ms_std,latency_p99_ms_ci_lo,latency_p99_ms_ci_hi,throughput_pvalue_vs_userspace,latency_p95_pvalue_vs_userspace
kernel,1,1,5,30.0,32134.4,0.0,1071.147,2.327,1069.107,1073.186,0.0,0.0,0.0,0.0,0.93,0.002,0.928,0.932,0.935,0.004,0.932,0.938,1.001,0.001,1.001,1.002,1.071,0.02,1.053,1.089,0.0,0.0
kernel,1,10,5,30.0,30282.4,0.0,1009.413,4.986,1005.043,1013.783,0.0,0.0,0.0,0.0,9.902,0.049,9.859,9.945,9.801,0.034,9.772,9.831,11.65,0.098,11.564,11.736,13.035,0.333,12.743,13.326,0.0,0.0
kernel,1,50,5,30.0,32886.8,0.0,1096.227,6.025,1090.945,1101.508,0.0,0.0,0.0,0.0,45.6,0.25,45.381,45.819,45.523,0.268,45.288,45.758,48.743,0.361,48.427,49.06,53.786,4.747,49.625,57.947,0.0,0.0
kernel,1,100,5,30.0,33112.0,0.0,1103.733,6.224,1098.278,1109.189,0.0,0.0,0.0,0.0,90.584,0.507,90.14,91.028,90.549,0.598,90.025,91.073,95.599,0.471,95.186,96.011,142.605,38.968,108.448,176.763,0.0,0.0
kernel,5,1,5,30.0,31985.8,0.0,1066.193,8.231,1058.979,1073.408,0.0,0.0,0.0,0.0,0.934,0.007,0.927,0.94,0.939,0.006,0.933,0.944,1.005,0.007,0.999,1.012,1.081,0.024,1.06,1.101,0.0,9e-06
kernel,5,10,5,30.0,30756.2,0.0,1025.207,25.456,1002.893,1047.52,0.0,0.0,0.0,0.0,9.754,0.235,9.549,9.96,9.693,0.226,9.495,9.891,11.469,0.16,11.329,11.609,12.511,0.196,12.34,12.682,0.0,0.0
kernel,5,50,5,30.0,33374.4,0.0,1112.48,38.651,1078.601,1146.359,0.0,0.0,0.0,0.0,44.977,1.496,43.666,46.288,44.939,1.563,43.57,46.309,48.258,1.142,47.258,49.259,53.528,5.536,48.676,58.38,0.0,0.0
kernel,5,100,5,30.0,32911.8,0.0,1097.06,9.419,1088.804,1105.317,0.0,0.0,0.0,0.0,91.134,0.783,90.448,91.82,90.646,0.645,90.08,91.211,97.759,2.554,95.521,99.997,150.946,31.575,123.269,178.623,0.0,0.0
kernel,10,1,5,30.0,32410.6,0.0,1080.353,47.035,1039.125,1121.581,0.0,0.0,0.0,0.0,0.923,0.038,0.889,0.956,0.918,0.041,0.882,0.954,1.001,0.048,0.959,1.043,1.128,0.149,0.997,1.259,0.124453,0.069338
kernel,10,10,5,30.0,30849.2,0.0,1028.307,32.605,999.727,1056.886,0.0,0.0,0.0,0.0,9.727,0.301,9.463,9.991,9.63,0.33,9.341,9.919,11.477,0.199,11.302,11.651,12.805,0.374,12.477,13.133,0.0,0.0
kernel,10,50,5,30.0,33723.2,0.0,1124.107,50.869,1079.518,1168.695,0.0,0.0,0.0,0.0,44.54,1.943,42.837,46.243,44.32,2.03,42.541,46.099,48.09,1.932,46.397,49.784,58.962,11.193,49.15,68.773,6.5e-05,1e-06
kernel,10,100,5,30.0,34103.6,0.0,1136.787,58.584,1085.435,1188.138,0.0,0.0,0.0,0.0,88.127,4.434,84.241,92.014,87.989,4.457,84.082,91.896,93.027,4.537,89.05,97.004,125.407,37.257,92.75,158.064,0.002352,0.000659
kernel,20,1,5,30.0,31820.2,0.0,1060.673,3.155,1057.908,1063.439,0.0,0.0,0.0,0.0,0.939,0.003,0.936,0.941,0.946,0.003,0.943,0.949,1.01,0.002,1.008,1.012,1.073,0.007,1.067,1.078,0.0,0.0
kernel,20,10,5,30.0,30095.2,0.0,1003.173,4.582,999.157,1007.19,0.0,0.0,0.0,0.0,9.964,0.046,9.924,10.004,9.88,0.026,9.857,9.903,11.635,0.081,11.564,11.707,12.789,0.344,12.487,13.091,0.0,0.0
kernel,20,50,5,30.0,32764.4,0.0,1092.147,5.166,1087.618,1096.675,0.0,0.0,0.0,0.0,45.771,0.219,45.58,45.963,45.716,0.172,45.565,45.867,48.881,0.166,48.735,49.026,54.147,4.58,50.132,58.162,0.0,0.0
kernel,20,100,5,30.0,32804.0,0.0,1093.467,8.838,1085.72,1101.213,0.0,0.0,0.0,0.0,91.429,0.734,90.786,92.073,91.43,0.812,90.718,92.141,96.059,0.697,95.448,96.669,117.107,32.102,88.968,145.245,0.0,0.0
kernel,50,1,5,30.0,31441.4,0.0,1048.047,3.433,1045.038,1051.055,0.0,0.0,0.0,0.0,0.95,0.003,0.947,0.953,0.957,0.003,0.955,0.959,1.022,0.003,1.019,1.024,1.088,0.012,1.078,1.099,0.0,0.0
kernel,50,10,5,30.0,30091.6,0.0,1003.053,3.23,1000.222,1005.885,0.0,0.0,0.0,0.0,9.965,0.032,9.937,9.993,9.9,0.026,9.878,9.922,11.641,0.054,11.594,11.688,12.67,0.071,12.608,12.733,0.0,0.0
kernel,50,50,5,30.0,32586.2,0.0,1086.207,6.476,1080.53,1091.883,0.0,0.0,0.0,0.0,46.023,0.272,45.784,46.262,45.891,0.24,45.681,46.101,49.28,0.372,48.953,49.606,58.441,6.339,52.884,63.997,0.0,0.0
kernel,50,100,5,30.0,32551.4,0.0,1085.047,5.135,1080.546,1089.548,0.0,0.0,0.0,0.0,92.14,0.435,91.759,92.521,92.0,0.419,91.633,92.367,97.136,1.19,96.093,98.179,107.057,9.523,98.71,115.404,0.0,0.0
seccomp,1,1,5,30.0,32656.2,0.0,1088.54,4.76,1084.367,1092.713,0.0,0.0,0.0,0.0,0.915,0.004,0.911,0.918,0.919,0.005,0.915,0.923,0.985,0.004,0.981,0.988,1.05,0.027,1.026,1.074,0.0,3e-06
seccomp,1,10,5,30.0,31108.4,0.0,1036.947,5.322,1032.282,1041.611,0.0,0.0,0.0,0.0,9.639,0.05,9.595,9.683,9.539,0.036,9.507,9.571,11.343,0.081,11.273,11.414,12.672,0.319,12.392,12.952,0.0,0.0
seccomp,1,50,5,30.0,33706.4,0.0,1123.547,9.244,1115.444,1131.649,0.0,0.0,0.0,0.0,44.494,0.364,44.174,44.813,44.387,0.324,44.103,44.672,47.829,0.214,47.642,48.016,56.938,10.367,47.85,66.025,0.0,0.0
seccomp,1,100,5,30.0,32175.6,0.0,1072.52,131.385,957.356,1187.684,0.0,0.0,0.0,0.0,94.576,13.861,82.427,106.726,94.758,14.548,82.007,107.51,102.333,19.414,85.315,119.35,171.979,9.973,163.237,180.721,0.016911,0.08488
seccomp,5,1,5,30.0,32080.6,0.0,1069.353,31.723,1041.547,1097.159,0.0,0.0,0.0,0.0,0.931,0.029,0.906,0.956,0.932,0.02,0.915,0.95,1.014,0.058,0.964,1.065,1.087,0.097,1.001,1.172,0.007611,0.10479
seccomp,5,10,5,30.0,31129.2,0.0,1037.64,7.335,1031.211,1044.069,0.0,0.0,0.0,0.0,9.633,0.068,9.573,9.693,9.517,0.083,9.444,9.59,11.401,0.172,11.251,11.552,12.747,0.405,12.392,13.102,0.0,0.0
seccomp,5,50,5,30.0,34027.2,0.0,1134.24,17.122,1119.232,1149.249,0.0,0.0,0.0,0.0,44.078,0.655,43.504,44.652,44.013,0.665,43.43,44.596,47.494,0.577,46.988,47.999,54.835,6.491,49.146,60.524,0.0,0.0
seccomp,5,100,5,30.0,34580.4,0.0,1152.68,39.333,1118.203,1187.157,0.0,0.0,0.0,0.0,86.803,2.901,84.26,89.346,86.727,2.882,84.201,89.253,92.688,1.837,91.077,94.298,163.762,8.035,156.719,170.805,0.000209,0.0
seccomp,10,1,5,30.0,32376.0,0.0,1079.2,4.204,1075.515,1082.885,0.0,0.0,0.0,0.0,0.923,0.004,0.92,0.926,0.927,0.004,0.923,0.931,0.992,0.004,0.988,0.995,1.05,0.007,1.044,1.056,0.0,0.0
seccomp,10,10,5,30.0,31415.4,0.0,1047.18,22.466,1027.488,1066.873,0.0,0.0,0.0,0.0,9.548,0.203,9.37,9.726,9.439,0.239,9.23,9.648,11.335,0.095,11.252,11.418,12.801,0.501,12.362,13.24,0.0,0.0
