repetition,system,agents,concurrency,measurement_seconds,requests,errors,error_rate,throughput_rps,throughput_std_rps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
1,userspace,1,1,30.0,14471,0,0.0,482.367,53.584,2.062,1.603,4.009,7.207
1,userspace,1,10,30.0,17815,0,0.0,593.833,22.122,16.827,15.47,28.906,57.896
1,userspace,1,50,30.0,18040,0,0.0,601.333,33.064,83.088,78.101,152.43,204.391
1,userspace,1,100,30.0,17406,0,0.0,580.2,43.577,172.176,166.004,338.851,412.755
1,userspace,5,1,30.0,18465,0,0.0,615.5,88.764,1.616,1.387,3.093,4.574
1,userspace,5,10,30.0,16863,0,0.0,562.1,93.34,17.774,16.121,31.913,59.641
1,userspace,5,50,30.0,17554,0,0.0,585.133,19.04,85.311,80.956,158.126,208.05
1,userspace,5,100,30.0,18526,0,0.0,617.533,30.31,161.637,157.24,314.792,373.212
1,userspace,10,1,30.0,16588,0,0.0,552.933,23.446,1.799,1.468,3.342,5.274
1,userspace,10,10,30.0,19394,0,0.0,646.467,36.513,15.454,14.247,26.003,53.672
1,userspace,10,50,30.0,20153,0,0.0,671.767,34.711,74.39,69.796,136.635,183.617
1,userspace,10,100,30.0,19465,0,0.0,648.833,29.513,153.993,147.634,300.59,364.584
1,userspace,20,1,30.0,16772,0,0.0,559.067,28.744,1.779,1.44,3.377,5.765
1,userspace,20,10,30.0,18936,0,0.0,631.2,26.981,15.815,14.539,27.289,53.287
1,userspace,20,50,30.0,19141,0,0.0,638.033,27.264,78.377,73.831,144.347,191.404
1,userspace,20,100,30.0,17449,0,0.0,581.633,52.977,171.656,165.268,337.08,434.817
1,userspace,50,1,30.0,15269,0,0.0,508.967,17.531,1.954,1.587,3.645,6.057
1,userspace,50,10,30.0,17301,0,0.0,576.7,38.923,17.324,15.786,30.183,58.011
1,userspace,50,50,30.0,16684,0,0.0,556.133,41.223,89.718,83.694,168.184,230.497
1,userspace,50,100,30.0,17075,0,0.0,569.167,24.392,175.425,168.692,344.785,401.306
1,seccomp,1,1,30.0,13193,0,0.0,439.767,22.577,2.263,1.836,4.161,6.597
1,seccomp,1,10,30.0,15125,0,0.0,504.167,42.411,19.82,17.978,36.244,64.034
1,seccomp,1,50,30.0,15869,0,0.0,528.967,59.418,94.428,89.091,188.163,255.686
1,seccomp,1,100,30.0,18754,0,0.0,625.133,30.928,159.574,155.926,319.54,373.956
1,seccomp,5,1,30.0,15017,0,0.0,500.567,58.71,1.987,1.597,3.765,6.39
1,seccomp,5,10,30.0,17669,0,0.0,588.967,24.999,16.966,15.488,29.78,57.536
