system,payload_label,payload_bytes,payload_display,runs,session_lookup_ms,arbitration_ms,tool_exec_ms,total_ms,tool_exec_share_pct
kernel,small,100,100 B,5,0.015,0.093,1.048,2.231,42.556
kernel,medium,10240,"10 KB (10,240 B)",5,0.018,0.107,1.151,2.358,45.065
kernel,large,1048576,"1 MB (1,048,576 B)",5,0.023,0.145,8.955,10.377,87.055
seccomp,small,100,100 B,5,0.018,0.019,1.339,2.757,45.449
seccomp,medium,10240,"10 KB (10,240 B)",5,0.023,0.018,1.339,2.682,46.849
seccomp,large,1048576,"1 MB (1,048,576 B)",5,0.028,0.026,10.285,16.333,62.239
userspace,small,100,100 B,5,0.016,0.012,1.012,2.116,44.856
userspace,medium,10240,"10 KB (10,240 B)",5,0.016,0.013,1.088,2.164,47.074
userspace,large,1048576,"1 MB (1,048,576 B)",5,0.026,0.016,9.393,10.672,87.901
