repetition,system,payload_label,payload_bytes,payload_display,requests,errors,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,session_lookup_ms,arbitration_ms,tool_exec_ms,total_ms,tool_exec_share_pct
1,userspace,small,100,100 B,2000,0,2.139,1.691,4.155,7.162,0.014,0.01,0.781,1.67,43.976
1,userspace,medium,10240,"10 KB (10,240 B)",2000,0,2.328,1.832,4.457,7.875,0.018,0.01,0.868,1.773,46.52
1,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,15.262,14.061,20.225,47.538,0.021,0.012,7.477,8.447,88.302
1,seccomp,small,100,100 B,2000,0,2.521,2.017,4.818,8.037,0.012,0.011,0.902,1.892,44.903
1,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,2.611,2.129,4.746,7.31,0.014,0.011,0.922,1.928,46.376
1,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,19.591,18.061,25.952,56.19,0.02,0.018,7.62,12.158,62.146
1,kernel,small,100,100 B,2000,0,2.106,1.668,3.906,8.353,0.011,0.071,0.728,1.662,41.529
1,kernel,medium,10240,"10 KB (10,240 B)",2000,0,2.211,1.73,4.014,7.435,0.01,0.067,0.831,1.694,44.199
1,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,13.38,11.983,18.893,47.76,0.018,0.11,7.064,8.037,87.612
2,kernel,small,100,100 B,2000,0,1.988,1.571,3.701,7.038,0.01,0.068,0.723,1.577,41.989
2,kernel,medium,10240,"10 KB (10,240 B)",2000,0,2.052,1.659,3.712,7.551,0.01,0.073,0.741,1.598,44.291
2,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,12.948,11.758,17.62,44.107,0.017,0.092,6.864,7.805,87.819
2,seccomp,small,100,100 B,2000,0,1.776,1.435,3.272,5.353,0.012,0.017,0.612,1.34,43.032
2,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,1.911,1.542,3.52,6.09,0.009,0.009,0.672,1.423,44.089
2,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,15.667,14.315,20.99,49.54,0.017,0.016,6.326,10.073,62.262
2,userspace,small,100,100 B,2000,0,2.171,1.722,4.111,10.837,0.014,0.009,0.768,1.686,43.554
2,userspace,medium,10240,"10 KB (10,240 B)",2000,0,2.275,1.767,4.446,9.916,0.013,0.01,0.855,1.742,46.116
2,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,15.684,14.002,21.141,57.402,0.019,0.013,7.912,9.005,87.992
3,kernel,small,100,100 B,2000,0,4.903,3.37,11.428,36.891,0.024,0.14,1.761,3.693,44.916
3,kernel,medium,10240,"10 KB (10,240 B)",2000,0,5.344,3.513,12.923,39.594,0.032,0.197,1.951,3.945,46.727
3,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,26.618,20.433,63.12,81.017,0.04,0.239,13.464,15.806,85.379
3,userspace,small,100,100 B,2000,0,4.782,3.211,11.217,37.37,0.028,0.016,1.794,3.565,47.194
3,userspace,medium,10240,"10 KB (10,240 B)",2000,0,4.919,3.328,11.843,37.756,0.025,0.023,1.916,3.61,49.258
3,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,27.12,21.415,63.17,84.852,0.041,0.024,13.758,15.642,87.374
3,seccomp,small,100,100 B,2000,0,5.865,3.987,13.352,43.612,0.025,0.025,2.052,4.212,47.07
3,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,5.761,3.991,14.118,38.917,0.043,0.038,2.098,4.128,48.253
3,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,35.095,27.26,71.647,101.896,0.035,0.036,14.074,22.202,62.262
4,seccomp,small,100,100 B,2000,0,5.916,3.992,15.507,42.22,0.029,0.022,2.164,4.275,47.462
4,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,5.645,3.88,13.899,40.13,0.032,0.022,2.029,3.911,48.871
4,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,33.439,26.155,69.199,91.209,0.04,0.031,13.292,21.012,62.297
4,kernel,small,100,100 B,2000,0,0.959,0.851,1.722,2.528,0.005,0.03,0.311,0.765,39.149
4,kernel,medium,10240,"10 KB (10,240 B)",2000,0,1.261,1.029,2.404,4.324,0.006,0.039,0.433,0.981,42.319
4,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,8.121,7.795,10.015,11.9,0.008,0.05,4.302,4.839,88.75
4,userspace,small,100,100 B,2000,0,2.437,2.026,4.524,8.098,0.013,0.012,0.906,1.922,44.965
