sample_index,bare_rtt_ms,full_rtt_ms,lookup_overhead_ms
78,0.008625,0.006791,-0.001834
79,0.008541,0.00675,-0.001791
80,0.008541,0.006875,-0.001666
81,0.008708,0.006792,-0.001916
82,0.008583,0.00675,-0.001833
83,0.009,0.006875,-0.002125
84,0.0085,0.007083,-0.001417
85,0.00875,0.006833,-0.001917
86,0.008458,0.00675,-0.001708
87,0.008709,0.006916,-0.001793
88,0.008667,0.006791,-0.001876
89,0.008625,0.006833,-0.001792
90,0.008625,0.006875,-0.00175
91,0.0085,0.006792,-0.001708
92,0.008583,0.006792,-0.001791
93,0.008542,0.006791,-0.001751
94,0.008708,0.007,-0.001708
95,0.008667,0.006959,-0.001708
96,0.008583,0.006875,-0.001708
97,0.00875,0.006958,-0.001792
98,0.008625,0.006875,-0.00175
99,0.008583,0.006958,-0.001625
100,0.008584,0.009334,0.00075
101,0.008916,0.009,8.4e-05
102,0.008667,0.007208,-0.001459
103,0.008625,0.007,-0.001625
104,0.008625,0.007042,-0.001583
105,0.008583,0.007042,-0.001541
106,0.008667,0.007542,-0.001125
107,0.008583,0.00975,0.001167
108,0.008584,0.009542,0.000958
109,0.008541,0.0095,0.000959
110,0.008667,0.009875,0.001208
111,0.008583,0.007167,-0.001416
112,0.008625,0.007,-0.001625
113,0.008708,0.008416,-0.000292
114,0.00875,0.006917,-0.001833
115,0.008542,0.006834,-0.001708
116,0.008625,0.006917,-0.001708
117,0.008917,0.006958,-0.001959
118,0.008583,0.006875,-0.001708
119,0.011458,0.006833,-0.004625
120,0.009417,0.006792,-0.002625
121,0.008167,0.00675,-0.001417
122,0.008417,0.006791,-0.001626
123,0.008292,0.00675,-0.001542
124,0.0085,0.006833,-0.001667
125,0.008292,0.006916,-0.001376
126,0.008208,0.00675,-0.001458
127,0.008334,0.006792,-0.001542
128,0.008292,0.006916,-0.001376
129,0.008167,0.006791,-0.001376
130,0.008417,0.006834,-0.001583
131,0.008459,0.006834,-0.001625
132,0.008667,0.007042,-0.001625
133,0.0085,0.006792,-0.001708
134,0.00825,0.006834,-0.001416
135,0.008417,0.006833,-0.001584
136,0.00825,0.00675,-0.0015
137,0.008375,0.00675,-0.001625
138,0.008542,0.006792,-0.00175
139,0.008334,0.006875,-0.001459
140,0.0085,0.006833,-0.001667
141,0.059083,0.006875,-0.052208
142,0.021,0.006875,-0.014125
143,0.011625,0.006958,-0.004667
144,0.009875,0.006875,-0.003
145,0.008875,0.006708,-0.002167
146,0.008709,0.00675,-0.001959
147,0.018167,0.006833,-0.011334
148,0.009708,0.007041,-0.002667
149,0.009125,0.006875,-0.00225
150,0.008792,0.006666,-0.002126
151,0.008666,0.00675,-0.001916
152,0.008458,0.006834,-0.001624
153,0.008917,0.006792,-0.002125
154,0.008459,0.006834,-0.001625
155,0.026125,0.006833,-0.019292
156,0.009,0.006875,-0.002125
157,0.008458,0.006834,-0.001624
158,0.008416,0.006833,-0.001583
159,0.008541,0.006791,-0.00175
160,0.008583,0.00675,-0.001833
161,0.0085,0.006917,-0.001583
162,0.008417,0.00675,-0.001667
163,0.008458,0.006792,-0.001666
164,0.008333,0.007041,-0.001292
165,0.008834,0.006916,-0.001918
166,0.008333,0.006833,-0.0015
167,0.0085,0.006916,-0.001584
168,0.008542,0.006791,-0.001751
169,0.008375,0.006916,-0.001459
170,0.008459,0.006875,-0.001584
171,0.008375,0.006792,-0.001583
172,0.008417,0.006834,-0.001583
173,0.008417,0.006917,-0.0015
174,0.008834,0.006834,-0.002
175,0.008667,0.006792,-0.001875
176,0.023875,0.006708,-0.017167
177,0.009167,0.006834,-0.002333
178,0.008542,0.00675,-0.001792
179,0.008417,0.006792,-0.001625
180,0.008542,0.007,-0.001542
181,0.016417,0.006875,-0.009542
182,0.008875,0.00675,-0.002125
183,0.008542,0.006833,-0.001709
184,0.008417,0.006833,-0.001584
185,0.008625,0.006875,-0.00175
186,0.008709,0.006792,-0.001917
187,0.019417,0.006834,-0.012583
188,0.012167,0.011667,-0.0005
189,0.00875,0.007417,-0.001333
190,0.008666,0.006875,-0.001791
191,0.008416,0.006833,-0.001583
192,0.008458,0.006958,-0.0015
193,0.009625,0.006792,-0.002833
194,0.0085,0.00675,-0.00175
195,0.008375,0.006875,-0.0015
196,0.008375,0.006916,-0.001459
197,0.008625,0.00675,-0.001875
198,0.008417,0.00675,-0.001667
199,0.00825,0.006667,-0.001583
200,0.008375,0.006792,-0.001583
201,0.008375,0.006875,-0.0015
202,0.008542,0.006875,-0.001667
203,0.008459,0.006791,-0.001668
204,0.00825,0.006792,-0.001458
205,0.008292,0.006875,-0.001417
206,0.008417,0.006833,-0.001584
207,0.008375,0.006834,-0.001541
208,0.0085,0.006875,-0.001625
209,0.008375,0.006792,-0.001583
210,0.008334,0.006875,-0.001459
211,0.008333,0.006833,-0.0015
212,0.008375,0.007083,-0.001292
213,0.008667,0.006834,-0.001833
214,0.00825,0.006875,-0.001375
215,0.008375,0.006834,-0.001541
216,0.008333,0.006792,-0.001541
217,0.008417,0.006708,-0.001709
218,0.008334,0.011875,0.003541
219,0.008333,0.009167,0.000834
220,0.008333,0.007542,-0.000791
221,0.008417,0.009791,0.001374
222,0.008334,0.009458,0.001124
223,0.008458,0.009625,0.001167
224,0.008416,0.009709,0.001293
225,0.008333,0.00825,-8.3e-05
226,0.008292,0.009667,0.001375
227,0.008292,0.009458,0.001166
228,0.008334,0.012625,0.004291
229,0.008417,0.00975,0.001333
230,0.008292,0.009292,0.001
231,0.008292,0.0075,-0.000792
232,0.008375,0.006791,-0.001584
233,0.008375,0.006875,-0.0015
234,0.008208,0.00675,-0.001458
235,0.008416,0.006792,-0.001624
236,0.008416,0.006875,-0.001541
237,0.008416,0.006875,-0.001541
