scenario_group,attack_case,mode,attempts,policy_violation_rate,bypass_success_rate,forgery_acceptance_rate,detection_rate,reject_rate,invariant_violation_count,reject_latency_avg_ms,reject_latency_p95_ms
A,expired_session,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,2.12,4.454
A,expired_session,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,2.225,6.028
A,expired_session,userspace_tamper_session,8,1.0,1.0,1.0,0.0,0.0,8,9.175,20.844
A,fake_session_id,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,2.526,7.54
A,fake_session_id,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,1.561,4.939
A,fake_session_id,userspace_tamper_session,8,1.0,1.0,1.0,0.0,0.0,8,14.549,44.356
A,session_token_theft,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,3.68,7.719
A,session_token_theft,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,2.237,4.23
A,session_token_theft,userspace_tamper_session,8,0.0,0.0,0.0,1.0,1.0,0,9.13,18.305
B,cross_agent_ticket_reuse,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,3.123,10.79
B,cross_agent_ticket_reuse,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,1.193,2.094
B,cross_agent_ticket_reuse,userspace_tamper_approval,8,1.0,1.0,1.0,0.0,0.0,8,252.36,1047.571
B,cross_tool_ticket_reuse,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,4.865,8.096
B,cross_tool_ticket_reuse,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,1.048,2.507
B,cross_tool_ticket_reuse,userspace_tamper_approval,8,1.0,1.0,1.0,0.0,0.0,8,125.113,350.961
B,denied_ticket_reuse,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.196,1.934
B,denied_ticket_reuse,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,1.966,4.179
B,denied_ticket_reuse,userspace_tamper_approval,8,1.0,1.0,1.0,0.0,0.0,8,185.32,623.163
B,expired_ticket_replay,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,7.083,13.343
B,expired_ticket_replay,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,4.095,6.024
B,expired_ticket_replay,userspace_tamper_approval,8,1.0,1.0,1.0,0.0,0.0,8,101.156,309.295
B,forged_approval_ticket,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,3.425,8.057
B,forged_approval_ticket,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,1.433,3.555
B,forged_approval_ticket,userspace_tamper_approval,8,1.0,1.0,1.0,0.0,0.0,8,78.937,157.023
C,hash_mismatch,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,2.255,5.562
C,hash_mismatch,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,1.726,3.628
C,hash_mismatch,userspace_tamper_metadata,8,1.0,1.0,1.0,0.0,0.0,8,369.181,1396.79
C,stale_catalog_replay,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,3.588,10.61
C,stale_catalog_replay,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,1.367,4.22
C,stale_catalog_replay,userspace_tamper_metadata,8,1.0,1.0,1.0,0.0,0.0,8,178.778,703.06
C,wrong_app_binding,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,2.162,4.584
C,wrong_app_binding,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.749,1.065
C,wrong_app_binding,userspace_tamper_metadata,8,1.0,1.0,1.0,0.0,0.0,8,219.364,661.656
D,approval_required_bypass,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.039,3.424
D,approval_required_bypass,userspace_compromised,8,1.0,1.0,1.0,0.0,0.0,8,26.941,50.369
D,approval_required_bypass,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.362,1.272
D,invalid_session_hash_bypass,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.102,2.978
D,invalid_session_hash_bypass,userspace_compromised,8,1.0,1.0,1.0,0.0,0.0,8,11.375,24.384
D,invalid_session_hash_bypass,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.378,1.276
E,toctou_hash_mismatch_after_approval,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.39,3.493
E,toctou_hash_mismatch_after_approval,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,1.951,6.625
E,toctou_hash_mismatch_after_approval,userspace_tamper_approval,8,0.0,0.0,0.0,1.0,1.0,0,1.81,5.228
E,toctou_tool_swap_after_approval,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,2.821,6.792
E,toctou_tool_swap_after_approval,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,1.039,2.117
E,toctou_tool_swap_after_approval,userspace_tamper_approval,8,1.0,1.0,1.0,0.0,0.0,8,53.284,112.987
E1,direct_risky_tool,direct,1,1.0,1.0,1.0,0.0,0.0,1,17.776,17.776
E1,direct_safe_tool,direct,1,1.0,1.0,1.0,0.0,0.0,1,3.35,3.35
E1,forwarder_fake_session,forwarder_only,1,0.0,0.0,0.0,1.0,1.0,0,0.373,0.373
