mode,attack_profile,malicious_pct,requests,concurrency,legit_throughput_rps,legit_success_rate,legit_p95_ms,attack_acceptance_rate,attack_count
mcpd,,0,150,8,228.302,1.0,67.6,0.0,0
mcpd,,5,150,8,335.927,1.0,41.664,0.0,8
mcpd,,10,150,8,399.242,1.0,36.209,0.0,16
mcpd,,20,150,8,390.494,1.0,34.845,0.0,32
userspace_semantic_plane,,0,150,8,567.125,1.0,22.615,0.0,0
userspace_semantic_plane,,5,150,8,483.945,1.0,26.932,0.0,8
userspace_semantic_plane,,10,150,8,450.354,1.0,36.6,0.0,16
userspace_semantic_plane,,20,150,8,497.096,1.0,30.14,0.0,32
userspace_compromised,compromised_userspace,0,150,8,516.357,1.0,27.338,0.0,0
userspace_compromised,compromised_userspace,5,150,8,487.453,1.0,29.833,1.0,8
userspace_compromised,compromised_userspace,10,150,8,208.74,1.0,30.303,1.0,16
userspace_compromised,compromised_userspace,20,150,8,2.314,0.864407,16898.802,0.9375,32
