repetition,system,payload_label,payload_bytes,payload_display,requests,errors,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,session_lookup_ms,arbitration_ms,tool_exec_ms,total_ms,tool_exec_share_pct
5,kernel,small,100,100 B,2000,0,0.846,0.809,1.021,1.113,0.004,0.028,0.267,0.703,37.815
5,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.917,0.869,1.105,1.3,0.004,0.029,0.301,0.744,40.071
5,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.929,7.293,9.439,16.058,0.006,0.044,4.1,4.608,89.226
6,seccomp,small,100,100 B,2000,0,1.026,0.938,1.229,2.175,0.005,0.006,0.334,0.827,40.041
6,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.915,0.881,1.09,1.348,0.004,0.005,0.29,0.723,40.14
6,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,10.141,9.801,11.297,12.976,0.006,0.007,3.941,6.453,61.206
6,kernel,small,100,100 B,2000,0,0.856,0.821,1.027,1.142,0.005,0.029,0.27,0.708,38.102
6,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.865,0.846,1.002,1.096,0.004,0.028,0.281,0.7,40.018
6,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.221,7.094,7.955,8.932,0.005,0.035,3.754,4.2,89.383
6,userspace,small,100,100 B,2000,0,0.826,0.784,0.998,1.074,0.004,0.004,0.268,0.688,39.014
6,userspace,medium,10240,"10 KB (10,240 B)",2000,0,1.024,0.872,1.124,1.611,0.005,0.005,0.352,0.826,41.681
6,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.584,7.461,8.321,8.858,0.005,0.005,3.78,4.198,90.05
7,userspace,small,100,100 B,2000,0,0.855,0.825,1.017,1.121,0.005,0.004,0.279,0.712,39.247
7,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.848,0.824,1.007,1.116,0.004,0.004,0.283,0.689,40.954
7,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.52,7.394,8.226,9.061,0.006,0.005,3.742,4.165,89.853
7,kernel,small,100,100 B,2000,0,0.859,0.818,1.027,1.328,0.005,0.029,0.272,0.712,38.167
7,kernel,medium,10240,"10 KB (10,240 B)",2000,0,1.378,0.935,2.123,6.545,0.006,0.035,0.566,1.126,41.848
7,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.708,7.313,8.772,11.185,0.006,0.038,4.001,4.477,89.28
7,seccomp,small,100,100 B,2000,0,0.987,0.848,1.071,1.539,0.005,0.005,0.369,0.808,39.509
7,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.932,0.892,1.126,1.477,0.005,0.005,0.299,0.736,40.455
7,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,10.14,9.663,11.523,15.396,0.006,0.007,4.05,6.516,61.471
8,userspace,small,100,100 B,2000,0,0.989,0.812,1.127,2.842,0.005,0.005,0.361,0.803,40.132
8,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.851,0.822,1.022,1.267,0.004,0.004,0.287,0.689,41.581
8,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.994,7.441,9.435,14.92,0.007,0.006,4.159,4.619,89.905
8,seccomp,small,100,100 B,2000,0,0.949,0.816,1.026,1.593,0.005,0.005,0.348,0.773,39.492
8,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.922,0.891,1.103,1.201,0.005,0.005,0.294,0.729,40.309
8,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,10.055,9.687,11.221,13.311,0.006,0.008,4.013,6.486,61.295
8,kernel,small,100,100 B,2000,0,0.907,0.889,1.066,1.218,0.005,0.03,0.286,0.749,38.076
8,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.888,0.861,1.027,1.271,0.004,0.028,0.289,0.715,40.09
8,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.203,7.084,7.883,8.542,0.005,0.035,3.734,4.181,89.303
9,kernel,small,100,100 B,2000,0,0.835,0.808,1.001,1.114,0.004,0.028,0.264,0.693,38.099
9,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.851,0.836,0.945,1.028,0.004,0.027,0.273,0.688,39.686
9,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.887,7.325,9.554,15.485,0.007,0.041,4.146,4.639,89.215
9,seccomp,small,100,100 B,2000,0,1.038,0.839,1.104,2.791,0.005,0.005,0.339,0.83,39.597
9,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.9,0.871,1.057,1.183,0.004,0.005,0.285,0.712,39.893
9,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,10.036,9.767,11.239,13.273,0.007,0.007,3.987,6.468,61.129
9,userspace,small,100,100 B,2000,0,0.939,0.833,1.335,2.672,0.006,0.005,0.321,0.775,40.481
9,userspace,medium,10240,"10 KB (10,240 B)",2000,0,1.051,0.856,1.276,3.054,0.005,0.005,0.404,0.865,41.938
9,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,8.159,7.669,9.462,13.512,0.006,0.006,4.141,4.596,89.892
10,userspace,small,100,100 B,2000,0,0.954,0.805,1.037,1.636,0.005,0.005,0.32,0.782,39.8
10,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.881,0.846,1.046,1.388,0.005,0.005,0.301,0.71,42.113
10,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.513,7.367,8.287,9.208,0.006,0.005,3.738,4.155,89.97
10,seccomp,small,100,100 B,2000,0,0.859,0.825,1.031,1.291,0.005,0.005,0.273,0.69,39.49
10,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.882,0.863,0.98,1.161,0.004,0.005,0.277,0.699,39.664
10,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,9.493,9.354,10.301,11.329,0.005,0.007,3.722,6.106,60.926
10,kernel,small,100,100 B,2000,0,0.861,0.818,1.051,1.158,0.004,0.029,0.273,0.714,38.03
10,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.88,0.852,1.054,1.142,0.004,0.028,0.284,0.712,39.827
10,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.576,7.229,8.526,10.384,0.006,0.038,3.893,4.367,89.274
11,seccomp,small,100,100 B,2000,0,0.845,0.809,1.019,1.069,0.004,0.005,0.264,0.682,38.692
11,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.899,0.874,1.037,1.233,0.004,0.005,0.283,0.711,39.81
11,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,10.28,9.651,11.947,18.075,0.007,0.008,4.086,6.698,61.232
11,userspace,small,100,100 B,2000,0,0.793,0.769,0.943,1.09,0.004,0.004,0.258,0.661,38.983
11,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.822,0.809,0.903,1.014,0.004,0.004,0.271,0.667,40.599
11,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.773,7.514,8.637,10.022,0.006,0.006,3.851,4.282,89.877
11,kernel,small,100,100 B,2000,0,0.801,0.788,0.882,0.99,0.004,0.027,0.246,0.665,36.902
11,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.885,0.851,1.067,1.174,0.004,0.028,0.286,0.717,39.48
11,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.84,7.252,9.07,15.885,0.006,0.04,4.011,4.5,89.194
12,seccomp,small,100,100 B,2000,0,0.876,0.825,1.139,1.62,0.005,0.005,0.276,0.702,39.197
