repetition,system,agents,concurrency,measurement_seconds,requests,errors,error_rate,throughput_rps,throughput_std_rps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
1,userspace,1,1,5.0,5563,0,0.0,1112.6,3.05,0.895,0.9,0.98,1.052
1,seccomp,1,1,5.0,5071,0,0.0,1014.2,70.737,0.981,0.929,1.123,2.069
1,kernel,1,1,5.0,5369,0,0.0,1073.8,2.775,0.927,0.936,1.018,1.072
2,kernel,1,1,5.0,5315,0,0.0,1063.0,1.414,0.937,0.945,1.023,1.083
2,seccomp,1,1,5.0,5427,0,0.0,1085.4,8.649,0.917,0.925,1.01,1.061
2,userspace,1,1,5.0,5358,0,0.0,1071.6,48.49,0.929,0.907,1.015,1.421
3,kernel,1,1,5.0,5260,0,0.0,1052.0,20.797,0.946,0.942,1.037,1.189
3,userspace,1,1,5.0,5255,0,0.0,1051.0,40.945,0.947,0.915,1.106,1.521
3,seccomp,1,1,5.0,4247,0,0.0,849.4,183.214,1.171,0.959,2.035,3.16
4,seccomp,1,1,5.0,5338,0,0.0,1067.6,3.435,0.932,0.938,1.021,1.106
4,kernel,1,1,5.0,5351,0,0.0,1070.2,15.073,0.93,0.936,1.023,1.127
4,userspace,1,1,5.0,5419,0,0.0,1083.8,48.515,0.919,0.906,1.003,1.312
5,seccomp,1,1,5.0,5185,0,0.0,1037.0,56.745,0.96,0.933,1.015,1.085
5,userspace,1,1,5.0,5106,0,0.0,1021.2,142.824,0.975,0.906,1.06,1.684
5,kernel,1,1,5.0,5386,0,0.0,1077.2,18.254,0.924,0.934,1.015,1.09
6,seccomp,1,1,5.0,5182,0,0.0,1036.4,71.241,0.96,0.943,1.054,1.709
6,kernel,1,1,5.0,5306,0,0.0,1061.2,28.438,0.938,0.94,1.031,1.14
6,userspace,1,1,5.0,5317,0,0.0,1063.4,39.437,0.936,0.91,1.063,1.428
7,userspace,1,1,5.0,5503,0,0.0,1100.6,6.656,0.904,0.91,0.99,1.059
7,kernel,1,1,5.0,5289,0,0.0,1057.8,38.648,0.941,0.933,1.041,1.236
7,seccomp,1,1,5.0,5018,0,0.0,1003.6,92.641,0.992,0.946,1.068,1.325
8,userspace,1,1,5.0,5183,0,0.0,1036.6,87.768,0.96,0.91,1.048,1.693
8,seccomp,1,1,5.0,5121,0,0.0,1024.2,38.977,0.971,0.943,1.147,1.629
8,kernel,1,1,5.0,4953,0,0.0,990.6,109.865,1.005,0.953,1.195,2.332
9,kernel,1,1,5.0,5299,0,0.0,1059.8,10.616,0.939,0.944,1.021,1.071
9,seccomp,1,1,5.0,5455,0,0.0,1091.0,36.939,0.912,0.923,1.013,1.082
9,userspace,1,1,5.0,5559,0,0.0,1111.8,2.775,0.895,0.901,0.972,1.031
10,userspace,1,1,5.0,5478,0,0.0,1095.6,32.052,0.908,0.899,1.009,1.27
10,seccomp,1,1,5.0,4793,0,0.0,958.6,85.448,1.038,0.946,1.203,1.914
10,kernel,1,1,5.0,5130,0,0.0,1026.0,94.578,0.97,0.94,1.03,1.126
11,seccomp,1,1,5.0,5265,0,0.0,1053.0,29.249,0.945,0.942,1.043,1.226
11,userspace,1,1,5.0,5188,0,0.0,1037.6,103.754,0.958,0.902,1.034,1.493
11,kernel,1,1,5.0,5340,0,0.0,1068.0,3.082,0.932,0.941,1.015,1.078
12,seccomp,1,1,5.0,5045,0,0.0,1009.0,115.323,0.986,0.935,1.061,1.442
12,kernel,1,1,5.0,5331,0,0.0,1066.2,3.033,0.934,0.942,1.027,1.084
12,userspace,1,1,5.0,5264,0,0.0,1052.8,74.157,0.945,0.91,1.022,1.295
13,userspace,1,1,5.0,5074,0,0.0,1014.8,100.564,0.981,0.91,1.064,1.627
13,kernel,1,1,5.0,5309,0,0.0,1061.8,16.634,0.937,0.94,1.037,1.172
13,seccomp,1,1,5.0,5371,0,0.0,1074.2,7.12,0.926,0.932,1.012,1.069
14,kernel,1,1,5.0,4829,0,0.0,965.8,136.531,1.031,0.948,1.163,2.499
14,seccomp,1,1,5.0,5057,0,0.0,1011.4,99.291,0.984,0.942,1.053,1.266
14,userspace,1,1,5.0,5317,0,0.0,1063.4,37.634,0.936,0.914,1.074,1.46
15,seccomp,1,1,5.0,5355,0,0.0,1071.0,4.637,0.929,0.935,1.019,1.077
15,userspace,1,1,5.0,5351,0,0.0,1070.2,52.27,0.93,0.91,1.039,1.362
