system,payload_label,payload_bytes,payload_display,runs,requests_per_run,errors_total,latency_avg_ms,latency_avg_std_ms,latency_avg_ci_lo_ms,latency_avg_ci_hi_ms,latency_p50_ms,latency_p50_std_ms,latency_p50_ci_lo_ms,latency_p50_ci_hi_ms,latency_p95_ms,latency_p95_std_ms,latency_p95_ci_lo_ms,latency_p95_ci_hi_ms,latency_p99_ms,latency_p99_std_ms,latency_p99_ci_lo_ms,latency_p99_ci_hi_ms,session_lookup_ms_mean,arbitration_ms_mean,tool_exec_ms_mean,total_ms_mean,tool_exec_share_pct_mean,latency_avg_pvalue_vs_userspace,latency_p95_pvalue_vs_userspace
kernel,small,100,100 B,30,2000,0,0.854,0.044,0.838,0.87,0.816,0.025,0.807,0.825,1.026,0.142,0.975,1.077,1.25,0.533,1.059,1.441,0.004,0.028,0.269,0.707,37.795,0.983638,0.512879
kernel,medium,10240,"10 KB (10,240 B)",30,2000,0,0.899,0.1,0.863,0.934,0.855,0.02,0.848,0.862,1.066,0.23,0.984,1.148,1.404,1.046,1.03,1.778,0.004,0.028,0.295,0.727,39.844,0.09721,0.159764
kernel,large,1048576,"1 MB (1,048,576 B)",30,2000,0,7.487,0.291,7.383,7.591,7.212,0.126,7.167,7.257,8.422,0.598,8.208,8.636,10.694,2.895,9.658,11.73,0.006,0.038,3.883,4.351,89.254,0.00027,0.048701
seccomp,small,100,100 B,30,2000,0,0.867,0.065,0.844,0.891,0.82,0.032,0.808,0.831,1.022,0.077,0.995,1.05,1.281,0.41,1.134,1.428,0.004,0.005,0.277,0.701,38.875,0.475016,0.404175
seccomp,medium,10240,"10 KB (10,240 B)",30,2000,0,0.922,0.062,0.899,0.944,0.877,0.025,0.868,0.886,1.078,0.127,1.033,1.124,1.41,0.692,1.162,1.658,0.007,0.005,0.291,0.727,39.93,0.000206,0.006356
seccomp,large,1048576,"1 MB (1,048,576 B)",30,2000,0,9.843,0.335,9.723,9.963,9.549,0.164,9.49,9.608,10.903,0.64,10.674,11.132,13.282,2.975,12.217,14.347,0.006,0.007,3.868,6.333,60.942,0.0,0.0
userspace,small,100,100 B,30,2000,0,0.854,0.077,0.826,0.882,0.789,0.024,0.78,0.797,1.056,0.208,0.981,1.131,1.613,1.209,1.18,2.046,0.005,0.004,0.281,0.71,39.225,,
userspace,medium,10240,"10 KB (10,240 B)",30,2000,0,0.863,0.06,0.842,0.885,0.821,0.017,0.815,0.827,1.003,0.08,0.975,1.032,1.268,0.427,1.115,1.421,0.004,0.004,0.29,0.701,41.064,,
userspace,large,1048576,"1 MB (1,048,576 B)",30,2000,0,7.748,0.263,7.654,7.842,7.497,0.127,7.452,7.543,8.716,0.556,8.517,8.915,10.741,2.44,9.868,11.614,0.006,0.006,3.869,4.301,89.938,,
