mode,path,sample_idx,status,decision,e2e_ms,arbitration_ms,total_ms
mcpd,defer,13,error,DEFER,0.716,0.041,0.565
mcpd,defer,14,error,DEFER,0.706,0.053,0.525
mcpd,defer,15,error,DEFER,0.977,0.055,0.779
mcpd,defer,16,error,DEFER,1.011,0.057,0.783
mcpd,defer,17,error,DEFER,1.317,0.06,1.036
mcpd,defer,18,error,DEFER,0.73,0.043,0.529
mcpd,defer,19,error,DEFER,0.925,0.045,0.691
mcpd,defer,20,error,DEFER,1.031,0.051,0.791
mcpd,defer,21,error,DEFER,0.75,0.04,0.505
mcpd,defer,22,error,DEFER,1.545,0.472,1.284
mcpd,defer,23,error,DEFER,1.645,0.092,0.879
mcpd,defer,24,error,DEFER,4.09,0.087,3.827
mcpd,defer,25,error,DEFER,1.102,0.062,0.795
mcpd,defer,26,error,DEFER,0.626,0.04,0.467
mcpd,defer,27,error,DEFER,1.344,0.066,0.511
mcpd,defer,28,error,DEFER,4.988,0.074,0.887
mcpd,defer,29,error,DEFER,1.67,0.144,1.419
mcpd,defer,30,error,DEFER,1.418,0.084,0.762
mcpd,defer,31,error,DEFER,3.908,0.055,0.926
mcpd,defer,32,error,DEFER,1.217,0.055,0.568
mcpd,defer,33,error,DEFER,0.637,0.044,0.491
mcpd,defer,34,error,DEFER,1.107,0.056,0.63
mcpd,defer,35,error,DEFER,1.866,0.06,0.534
mcpd,defer,36,error,DEFER,1.69,0.134,0.705
mcpd,defer,37,error,DEFER,2.967,0.07,0.593
mcpd,defer,38,error,DEFER,1.238,0.063,0.74
mcpd,defer,39,error,DEFER,1.049,0.066,0.565
userspace_semantic_plane,allow,0,ok,ALLOW,2.259,0.011,1.754
userspace_semantic_plane,allow,1,ok,ALLOW,2.917,0.009,2.597
userspace_semantic_plane,allow,2,ok,ALLOW,3.858,0.017,3.194
userspace_semantic_plane,allow,3,ok,ALLOW,2.079,0.007,1.729
userspace_semantic_plane,allow,4,ok,ALLOW,3.206,0.007,2.753
userspace_semantic_plane,allow,5,ok,ALLOW,1.779,0.008,1.314
userspace_semantic_plane,allow,6,ok,ALLOW,1.71,0.006,1.446
userspace_semantic_plane,allow,7,ok,ALLOW,2.136,0.006,1.662
userspace_semantic_plane,allow,8,ok,ALLOW,2.357,0.014,1.999
userspace_semantic_plane,allow,9,ok,ALLOW,4.078,0.009,3.229
userspace_semantic_plane,allow,10,ok,ALLOW,1.321,0.006,1.152
userspace_semantic_plane,allow,11,ok,ALLOW,2.344,0.005,2.107
userspace_semantic_plane,allow,12,ok,ALLOW,2.593,0.006,1.647
userspace_semantic_plane,allow,13,ok,ALLOW,2.008,0.006,1.321
userspace_semantic_plane,allow,14,ok,ALLOW,2.766,0.017,2.574
userspace_semantic_plane,allow,15,ok,ALLOW,2.786,0.006,2.266
userspace_semantic_plane,allow,16,ok,ALLOW,1.57,0.007,1.347
userspace_semantic_plane,allow,17,ok,ALLOW,1.925,0.006,1.64
userspace_semantic_plane,allow,18,ok,ALLOW,3.753,0.005,3.058
userspace_semantic_plane,allow,19,ok,ALLOW,2.097,0.006,1.835
userspace_semantic_plane,allow,20,ok,ALLOW,2.269,0.007,1.887
userspace_semantic_plane,allow,21,ok,ALLOW,3.029,0.006,2.393
userspace_semantic_plane,allow,22,ok,ALLOW,3.315,0.009,2.604
