label,mode,requests,success_rate,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
mixed,direct,80,1.0,4.888,2.431,15.43,21.868
hotspot,direct,80,1.0,2.646,1.506,9.928,18.666
mixed,mcpd,80,1.0,5.795,5.034,10.723,22.706
mixed,forwarder_only,80,1.0,3.153,2.87,6.786,7.664
mixed,userspace_semantic_plane,80,1.0,4.076,3.182,9.02,17.861
hotspot,mcpd,80,1.0,3.397,3.086,6.518,6.771
hotspot,forwarder_only,80,1.0,3.426,2.54,6.373,21.292
hotspot,userspace_semantic_plane,80,1.0,2.633,1.892,5.188,12.57
