case,repeats,error_rate,deny_rate,defer_rate,latency_avg_ms,latency_p95_ms
invalid_session,40,1.0,0.0,0.0,1.191,2.24
invalid_tool_id,40,1.0,0.0,0.0,2.037,4.216
hash_mismatch,40,1.0,1.0,0.0,1.722,3.089
