mode,samples,avg_ms,std_ms,ci95_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
full,100000,0.008143,0.026177,0.000162,0.0075,0.009583,0.0185,0.006958,7.769708
skip_ticket,100000,0.008044,0.01935,0.00012,0.007458,0.009833,0.016583,0.007,5.676541
skip_binding,100000,0.008044,0.004022,2.5e-05,0.0075,0.010125,0.018583,0.006958,0.504083
skip_hash,100000,0.008277,0.009851,6.1e-05,0.007625,0.010208,0.021334,0.007,1.864417
skip_lookups,100000,0.008218,0.005124,3.2e-05,0.007458,0.010417,0.022167,0.006916,0.538208
