stage,full_avg_ms,skip_avg_ms,delta_ms,delta_ratio,delta_bootstrap_mean_ms,delta_ci_lo,delta_ci_hi
ticket,0.008143,0.008044,9.9e-05,0.012125,9.7e-05,-9.9e-05,0.000313
binding,0.008143,0.008044,9.9e-05,0.012184,9.7e-05,-2.1e-05,0.000278
hash,0.008143,0.008277,-0.000134,-0.016497,-0.000138,-0.000279,5.3e-05
lookups,0.008143,0.008218,-7.5e-05,-0.009154,-7.7e-05,-0.000196,0.000105
