rep,mode,samples,avg_ms,std_ms,ci95_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
0,skip_ticket,10000,0.007522,0.002269,4.4e-05,0.00725,0.008208,0.010959,0.006833,0.142667
0,skip_lookups,10000,0.00758,0.001235,2.4e-05,0.007291,0.009708,0.013291,0.006958,0.040667
0,skip_hash,10000,0.007358,0.000587,1.2e-05,0.00725,0.007584,0.010291,0.007,0.020792
0,skip_binding,10000,0.007423,0.003145,6.2e-05,0.007208,0.008083,0.010625,0.006833,0.254375
0,full,10000,0.0069,0.000662,1.3e-05,0.006791,0.007166,0.009625,0.006583,0.030625
1,full,10000,0.006959,0.001913,3.7e-05,0.006792,0.007375,0.009625,0.006541,0.178166
1,skip_ticket,10000,0.007562,0.000746,1.5e-05,0.007375,0.00825,0.010625,0.007125,0.02125
1,skip_binding,10000,0.007531,0.001155,2.3e-05,0.007333,0.00825,0.010625,0.006875,0.066958
1,skip_hash,10000,0.007511,0.001088,2.1e-05,0.007333,0.00825,0.010792,0.006916,0.072834
1,skip_lookups,10000,0.007322,0.000569,1.1e-05,0.00725,0.007542,0.010167,0.006958,0.019917
2,full,10000,0.006912,0.00055,1.1e-05,0.006833,0.007167,0.009542,0.006541,0.022542
2,skip_binding,10000,0.00735,0.000567,1.1e-05,0.00725,0.007583,0.010291,0.007,0.018208
2,skip_lookups,10000,0.007301,0.000597,1.2e-05,0.007208,0.007541,0.010167,0.006958,0.025084
2,skip_hash,10000,0.007444,0.001345,2.6e-05,0.00725,0.008125,0.010459,0.006834,0.118459
2,skip_ticket,10000,0.008758,0.005725,0.000112,0.0075,0.018502,0.024085,0.006958,0.378667
3,skip_binding,10000,0.007809,0.002895,5.7e-05,0.007458,0.008958,0.012625,0.007042,0.146792
3,skip_ticket,10000,0.007517,0.000984,1.9e-05,0.007292,0.0085,0.010918,0.006916,0.039333
3,full,10000,0.007127,0.001027,2e-05,0.006917,0.008375,0.010208,0.0065,0.036417
3,skip_hash,10000,0.007602,0.002458,4.8e-05,0.007333,0.008917,0.010875,0.007041,0.202667
3,skip_lookups,10000,0.007343,0.000678,1.3e-05,0.007208,0.007875,0.010416,0.006917,0.01875
4,skip_lookups,10000,0.007563,0.001936,3.8e-05,0.007333,0.008333,0.010877,0.006833,0.131749
4,skip_ticket,10000,0.007392,0.000888,1.7e-05,0.007209,0.007958,0.01071,0.006834,0.0435
4,full,10000,0.006883,0.000556,1.1e-05,0.006792,0.007125,0.009417,0.006583,0.022875
4,skip_binding,10000,0.007339,0.000612,1.2e-05,0.007209,0.007667,0.01025,0.007,0.020458
4,skip_hash,10000,0.007394,0.000708,1.4e-05,0.00725,0.00775,0.0105,0.007,0.032541
5,skip_hash,10000,0.007511,0.00179,3.5e-05,0.007292,0.008042,0.010626,0.007042,0.108459
5,skip_binding,10000,0.007502,0.001057,2.1e-05,0.007292,0.008125,0.010583,0.006916,0.062458
5,full,10000,0.007039,0.000719,1.4e-05,0.006875,0.007708,0.009917,0.0065,0.031417
5,skip_ticket,10000,0.007514,0.003138,6.2e-05,0.007291,0.008042,0.010876,0.007,0.185042
5,skip_lookups,10000,0.007322,0.000622,1.2e-05,0.007208,0.0075,0.01025,0.007,0.019791
6,skip_lookups,10000,0.007356,0.000585,1.1e-05,0.00725,0.007584,0.010167,0.007041,0.020875
6,full,10000,0.007134,0.001466,2.9e-05,0.007,0.007666,0.010083,0.006625,0.112625
6,skip_hash,10000,0.00761,0.00095,1.9e-05,0.007458,0.008208,0.010792,0.006958,0.056375
6,skip_ticket,10000,0.007689,0.002202,4.3e-05,0.007458,0.0085,0.011167,0.007083,0.146375
6,skip_binding,10000,0.007536,0.000939,1.8e-05,0.007334,0.00825,0.011292,0.006958,0.047833
7,skip_lookups,10000,0.007447,0.00062,1.2e-05,0.007334,0.007667,0.010333,0.007125,0.023083
7,skip_hash,10000,0.00754,0.000723,1.4e-05,0.007375,0.008042,0.010667,0.007041,0.026417
7,skip_ticket,10000,0.007471,0.000605,1.2e-05,0.007375,0.007667,0.010333,0.007125,0.02125
7,full,10000,0.007148,0.0021,4.1e-05,0.006958,0.00775,0.010083,0.006708,0.171333
7,skip_binding,10000,0.007532,0.000918,1.8e-05,0.007333,0.008125,0.012168,0.007083,0.030167
8,skip_lookups,10000,0.00746,0.000916,1.8e-05,0.007292,0.008,0.010542,0.007,0.045
8,skip_binding,10000,0.007471,0.001977,3.9e-05,0.007292,0.007958,0.010333,0.007083,0.164209
8,skip_ticket,10000,0.007546,0.001188,2.3e-05,0.007333,0.008458,0.010875,0.006958,0.047166
8,skip_hash,10000,0.007533,0.000868,1.7e-05,0.007375,0.008042,0.012333,0.007125,0.032083
8,full,10000,0.00707,0.000675,1.3e-05,0.006917,0.007459,0.009875,0.006708,0.028042
9,full,10000,0.009802,0.053305,0.001045,0.007334,0.010292,0.05093,0.006625,4.938707
9,skip_hash,10000,0.007569,0.00106,2.1e-05,0.007334,0.0085,0.010834,0.007042,0.039291
9,skip_ticket,10000,0.007486,0.000828,1.6e-05,0.007333,0.008042,0.010709,0.007041,0.040708
9,skip_binding,10000,0.007395,0.000706,1.4e-05,0.00725,0.007709,0.010417,0.007041,0.030333
9,skip_lookups,10000,0.00743,0.001075,2.1e-05,0.007208,0.009041,0.010625,0.006958,0.043083
