stage,full_avg_ms,skip_avg_ms,delta_ms,delta_ratio,delta_bootstrap_mean_ms,delta_ci_lo,delta_ci_hi
ticket,0.007297,0.007646,-0.000348,-0.047737,-0.000348,-0.000429,-0.000221
binding,0.007297,0.007489,-0.000192,-0.026245,-0.000191,-0.000269,-7.1e-05
hash,0.007297,0.007507,-0.00021,-0.028748,-0.00021,-0.000287,-9e-05
lookups,0.007297,0.007412,-0.000115,-0.015761,-0.000115,-0.000191,6e-06
